jurisdiction_fips,county_name,district,party_simplified,total_votes
00000,nan,01,DEMOCRAT,1276.0
00000,nan,01,LIBERTARIAN,6.0
00000,nan,01,OTHER,7.0
00000,nan,01,REPUBLICAN,85.0
00000,nan,02,DEMOCRAT,1276.0
00000,nan,02,LIBERTARIAN,6.0
00000,nan,02,OTHER,7.0
00000,nan,02,REPUBLICAN,85.0
01001,AUTAUGA,02,DEMOCRAT,7503.0
01001,AUTAUGA,02,OTHER,516.0
01001,AUTAUGA,02,REPUBLICAN,19838.0
01003,BALDWIN,01,DEMOCRAT,24578.0
01003,BALDWIN,01,OTHER,1890.0
01003,BALDWIN,01,REPUBLICAN,83544.0
01005,BARBOUR,02,DEMOCRAT,4816.0
01005,BARBOUR,02,OTHER,122.0
01005,BARBOUR,02,REPUBLICAN,5622.0
01007,BIBB,06,DEMOCRAT,1986.0
01007,BIBB,06,OTHER,119.0
01007,BIBB,06,REPUBLICAN,7525.0
01009,BLOUNT,04,DEMOCRAT,2640.0
01009,BLOUNT,04,OTHER,312.0
01009,BLOUNT,04,REPUBLICAN,24711.0
01009,BLOUNT,06,DEMOCRAT,2640.0
01009,BLOUNT,06,OTHER,312.0
01009,BLOUNT,06,REPUBLICAN,24711.0
01011,BULLOCK,02,DEMOCRAT,3446.0
01011,BULLOCK,02,OTHER,41.0
01011,BULLOCK,02,REPUBLICAN,1146.0
01013,BUTLER,02,DEMOCRAT,3965.0
01013,BUTLER,02,OTHER,104.0
01013,BUTLER,02,REPUBLICAN,5458.0
01015,CALHOUN,03,DEMOCRAT,15216.0
01015,CALHOUN,03,OTHER,828.0
01015,CALHOUN,03,REPUBLICAN,35101.0
01017,CHAMBERS,03,DEMOCRAT,6365.0
01017,CHAMBERS,03,OTHER,214.0
01017,CHAMBERS,03,REPUBLICAN,8753.0
01019,CHEROKEE,03,DEMOCRAT,1624.0
01019,CHEROKEE,03,OTHER,139.0
01019,CHEROKEE,03,REPUBLICAN,10583.0
01019,CHEROKEE,04,DEMOCRAT,1624.0
01019,CHEROKEE,04,OTHER,139.0
01019,CHEROKEE,04,REPUBLICAN,10583.0
01021,CHILTON,06,DEMOCRAT,3073.0
01021,CHILTON,06,OTHER,208.0
01021,CHILTON,06,REPUBLICAN,16085.0
01023,CHOCTAW,07,DEMOCRAT,3127.0
01023,CHOCTAW,07,OTHER,87.0
01023,CHOCTAW,07,REPUBLICAN,4296.0
01025,CLARKE,01,DEMOCRAT,5755.0
01025,CLARKE,01,OTHER,106.0
01025,CLARKE,01,REPUBLICAN,7324.0
01025,CLARKE,07,DEMOCRAT,5755.0
01025,CLARKE,07,OTHER,106.0
01025,CLARKE,07,REPUBLICAN,7324.0
01027,CLAY,03,DEMOCRAT,1267.0
01027,CLAY,03,OTHER,88.0
01027,CLAY,03,REPUBLICAN,5601.0
01029,CLEBURNE,03,DEMOCRAT,675.0
01029,CLEBURNE,03,OTHER,96.0
01029,CLEBURNE,03,REPUBLICAN,6484.0
01031,COFFEE,02,DEMOCRAT,5076.0
01031,COFFEE,02,OTHER,364.0
01031,COFFEE,02,REPUBLICAN,16899.0
01033,COLBERT,04,DEMOCRAT,8343.0
01033,COLBERT,04,OTHER,438.0
01033,COLBERT,04,REPUBLICAN,19203.0
01035,CONECUH,02,DEMOCRAT,2966.0
01035,CONECUH,02,OTHER,71.0
01035,CONECUH,02,REPUBLICAN,3442.0
01037,COOSA,06,DEMOCRAT,1796.0
01037,COOSA,06,OTHER,67.0
01037,COOSA,06,REPUBLICAN,3631.0
01039,COVINGTON,02,DEMOCRAT,2721.0
01039,COVINGTON,02,OTHER,184.0
01039,COVINGTON,02,REPUBLICAN,14586.0
01041,CRENSHAW,02,DEMOCRAT,1700.0
01041,CRENSHAW,02,OTHER,75.0
01041,CRENSHAW,02,REPUBLICAN,4864.0
01043,CULLMAN,04,DEMOCRAT,4478.0
01043,CULLMAN,04,OTHER,625.0
01043,CULLMAN,04,REPUBLICAN,36880.0
01045,DALE,02,DEMOCRAT,5170.0
01045,DALE,02,OTHER,341.0
01045,DALE,02,REPUBLICAN,14303.0
01047,DALLAS,07,DEMOCRAT,12230.0
01047,DALLAS,07,OTHER,186.0
01047,DALLAS,07,REPUBLICAN,5524.0
01049,DEKALB,04,DEMOCRAT,4281.0
01049,DEKALB,04,OTHER,403.0
01049,DEKALB,04,REPUBLICAN,24767.0
01051,ELMORE,02,DEMOCRAT,10367.0
01051,ELMORE,02,OTHER,615.0
01051,ELMORE,02,REPUBLICAN,30164.0
01053,ESCAMBIA,01,DEMOCRAT,4918.0
01053,ESCAMBIA,01,OTHER,169.0
01053,ESCAMBIA,01,REPUBLICAN,10869.0
01055,ETOWAH,04,DEMOCRAT,11567.0
01055,ETOWAH,04,OTHER,776.0
01055,ETOWAH,04,REPUBLICAN,35528.0
01057,FAYETTE,04,DEMOCRAT,1395.0
01057,FAYETTE,04,OTHER,120.0
01057,FAYETTE,04,REPUBLICAN,7300.0
01059,FRANKLIN,04,DEMOCRAT,2086.0
01059,FRANKLIN,04,OTHER,203.0
01059,FRANKLIN,04,REPUBLICAN,10376.0
01061,GENEVA,02,DEMOCRAT,1595.0
01061,GENEVA,02,OTHER,145.0
01061,GENEVA,02,REPUBLICAN,10848.0
01063,GREENE,07,DEMOCRAT,3884.0
01063,GREENE,07,OTHER,42.0
01063,GREENE,07,REPUBLICAN,875.0
01065,HALE,07,DEMOCRAT,4663.0
01065,HALE,07,OTHER,68.0
01065,HALE,07,REPUBLICAN,3192.0
01067,HENRY,02,DEMOCRAT,2606.0
01067,HENRY,02,OTHER,125.0
01067,HENRY,02,REPUBLICAN,6607.0
01069,HOUSTON,02,DEMOCRAT,12917.0
01069,HOUSTON,02,OTHER,770.0
01069,HOUSTON,02,REPUBLICAN,32618.0
01071,JACKSON,04,DEMOCRAT,3717.0
01071,JACKSON,04,OTHER,342.0
01071,JACKSON,04,REPUBLICAN,19670.0
01071,JACKSON,05,DEMOCRAT,3717.0
01071,JACKSON,05,OTHER,342.0
01071,JACKSON,05,REPUBLICAN,19670.0
01073,JEFFERSON,06,DEMOCRAT,181688.0
01073,JEFFERSON,06,OTHER,6478.0
01073,JEFFERSON,06,REPUBLICAN,138843.0
01073,JEFFERSON,07,DEMOCRAT,181688.0
01073,JEFFERSON,07,OTHER,6478.0
01073,JEFFERSON,07,REPUBLICAN,138843.0
01075,LAMAR,04,DEMOCRAT,978.0
01075,LAMAR,04,OTHER,59.0
01075,LAMAR,04,REPUBLICAN,6174.0
01077,LAUDERDALE,05,DEMOCRAT,11915.0
01077,LAUDERDALE,05,OTHER,874.0
01077,LAUDERDALE,05,REPUBLICAN,31721.0
01079,LAWRENCE,04,DEMOCRAT,3562.0
01079,LAWRENCE,04,OTHER,217.0
01079,LAWRENCE,04,REPUBLICAN,12322.0
01081,LEE,03,DEMOCRAT,27860.0
01081,LEE,03,OTHER,1544.0
01081,LEE,03,REPUBLICAN,42221.0
01083,LIMESTONE,05,DEMOCRAT,13672.0
01083,LIMESTONE,05,OTHER,1071.0
01083,LIMESTONE,05,REPUBLICAN,34640.0
01085,LOWNDES,07,DEMOCRAT,4972.0
01085,LOWNDES,07,OTHER,68.0
01085,LOWNDES,07,REPUBLICAN,1836.0
01087,MACON,03,DEMOCRAT,7108.0
01087,MACON,03,OTHER,122.0
01087,MACON,03,REPUBLICAN,1541.0
01089,MADISON,05,DEMOCRAT,87286.0
01089,MADISON,05,OTHER,5308.0
01089,MADISON,05,REPUBLICAN,102780.0
01091,MARENGO,07,DEMOCRAT,5488.0
01091,MARENGO,07,OTHER,111.0
01091,MARENGO,07,REPUBLICAN,5343.0
01093,MARION,04,DEMOCRAT,1463.0
01093,MARION,04,OTHER,187.0
01093,MARION,04,REPUBLICAN,12205.0
01095,MARSHALL,04,DEMOCRAT,5943.0
01095,MARSHALL,04,OTHER,617.0
01095,MARSHALL,04,REPUBLICAN,33191.0
01097,MOBILE,01,DEMOCRAT,79474.0
01097,MOBILE,01,OTHER,3096.0
01097,MOBILE,01,REPUBLICAN,101243.0
01099,MONROE,01,DEMOCRAT,4455.0
01099,MONROE,01,OTHER,105.0
01099,MONROE,01,REPUBLICAN,6147.0
01101,MONTGOMERY,02,DEMOCRAT,64529.0
01101,MONTGOMERY,02,OTHER,1722.0
01101,MONTGOMERY,02,REPUBLICAN,33311.0
01101,MONTGOMERY,03,DEMOCRAT,64529.0
01101,MONTGOMERY,03,OTHER,1722.0
01101,MONTGOMERY,03,REPUBLICAN,33311.0
01101,MONTGOMERY,07,DEMOCRAT,64529.0
01101,MONTGOMERY,07,OTHER,1722.0
01101,MONTGOMERY,07,REPUBLICAN,33311.0
01103,MORGAN,05,DEMOCRAT,13234.0
01103,MORGAN,05,OTHER,1007.0
01103,MORGAN,05,REPUBLICAN,39664.0
01105,PERRY,07,DEMOCRAT,3860.0
01105,PERRY,07,OTHER,59.0
01105,PERRY,07,REPUBLICAN,1339.0
01107,PICKENS,07,DEMOCRAT,4022.0
01107,PICKENS,07,OTHER,85.0
01107,PICKENS,07,REPUBLICAN,5594.0
01109,PIKE,02,DEMOCRAT,5636.0
01109,PIKE,02,OTHER,217.0
01109,PIKE,02,REPUBLICAN,8042.0
01111,RANDOLPH,03,DEMOCRAT,2203.0
01111,RANDOLPH,03,OTHER,111.0
01111,RANDOLPH,03,REPUBLICAN,8559.0
01113,RUSSELL,03,DEMOCRAT,11228.0
01113,RUSSELL,03,OTHER,302.0
01113,RUSSELL,03,REPUBLICAN,9864.0
01115,ST CLAIR,03,DEMOCRAT,7744.0
01115,ST CLAIR,03,OTHER,641.0
01115,ST CLAIR,03,REPUBLICAN,36166.0
01117,SHELBY,06,DEMOCRAT,33268.0
01117,SHELBY,06,OTHER,2297.0
01117,SHELBY,06,REPUBLICAN,79700.0
01119,SUMTER,07,DEMOCRAT,4648.0
01119,SUMTER,07,OTHER,78.0
01119,SUMTER,07,REPUBLICAN,1598.0
01121,TALLADEGA,03,DEMOCRAT,13138.0
01121,TALLADEGA,03,OTHER,406.0
01121,TALLADEGA,03,REPUBLICAN,22235.0
