bioguide_id	icpsr	chamber	state_abbrev	district	party_code	party_name	dw_nominate	dw_nominate2
B000444	99913		USA	0	100		-0.32	0.283
R000575	20301	house	AL	3	200		0.379	0.377
S001185	21102	house	AL	7	100		-0.4	0.392
B001274	21193	house	AL	5	200		0.652	-0.417
P000609	21500	house	AL	6	200		0.675	0.108
C001054	22108	house	AL	1	200		0.55	0.239
M001212	22140	house	AL	2	200		0.645	-0.249
A000055	29701	house	AL	4	200		0.405	0.468
Y000033	14066	house	AK	1	200		0.283	0.022
P000619	22168	house	AK	1	100		-0.138	0.378
R000600	21995	house	AS	0	200		0.325	0.186
G000551	20305	house	AZ	3	100		-0.598	-0.264
K000368	20902	house	AZ	2	100		-0.169	-0.01
G000565	21103	house	AZ	4	200		0.703	-0.517
S001183	21105	house	AZ	6	200		0.553	-0.218
G000574	21502	house	AZ	7	100		-0.359	0.142
B001302	21705	house	AZ	5	200		0.818	-0.575
O000171	21739	house	AZ	1	100		-0.198	0.18
L000589	21757	house	AZ	8	200		0.616	-0.104
S001211	21968	house	AZ	9	100		-0.276	0.259
C001087	21106	house	AR	1	200		0.46	0.31
W000809	21108	house	AR	3	200		0.348	0.636
H001072	21503	house	AR	2	200		0.437	0.272
W000821	21563	house	AR	4	200		0.546	0.254
P000197	15448	house	CA	12	100		-0.489	-0.179
S001150	20104	house	CA	28	100		-0.353	-0.114
I000056	20107	house	CA	50	200		0.478	0.024
N000181	20307	house	CA	22	200		0.45	0.223
S001156	20310	house	CA	38	100		-0.508	-0.131
C001059	20501	house	CA	16	100		-0.198	0.448
M001163	20538	house	CA	6	100		-0.434	-0.142
M001166	20702	house	CA	9	100		-0.263	-0.159
M001165	20703	house	CA	23	200		0.453	0.233
S001175	20762	house	CA	14	100		-0.381	-0.41
M001177	20903	house	CA	4	200		0.671	-0.365
C001080	20955	house	CA	27	100		-0.482	-0.37
G000559	20958	house	CA	3	100		-0.314	-0.098
B001270	21110	house	CA	37	100		-0.584	-0.098
L000578	21302	house	CA	1	200		0.54	0.014
H001068	21303	house	CA	2	100		-0.431	-0.506
B001287	21304	house	CA	7	100		-0.247	0.009
S001193	21306	house	CA	15	100		-0.355	-0.049
V000129	21307	house	CA	21	200		0.258	0.438
B001285	21308	house	CA	26	100		-0.303	0.049
C001097	21309	house	CA	29	100		-0.39	-0.046
R000599	21311	house	CA	36	100		-0.259	0.046
T000472	21312	house	CA	41	100		-0.458	-0.328
