organization,pacs,honoree,date,amount_usd
MISSION STRATEGIES LLC (ENERGY),,Senator John Boozman,2025-02-06,1500.00
"TORREY ADVISORY GROUP (FORMERLY MICHAEL TORREY ASSOCIATES, LLC)",,Senator John Boozman,2025-03-28,1500.00
NATIONAL MILK PRODUCERS FEDERATION,National Milk Producers Federation PAC,Sen. John Boozman,2025-04-06,2500.00
AMERICAN SENIORS HOUSING ASSOCIATION,Seniors Housing PAC,"Boozman, John",2025-06-02,1000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Sen. John Boozman,2025-05-20,2500.00
"MARSH & MCLENNAN COMPANIES, INC.",Marsh & McLennan Companies PAC,Sen. John Boozman,2025-05-08,2500.00
CROWELL & MORING LLP,Crowell & Moring LLP Political Action Committee (C&M PAC),Sen. John Boozman,2025-06-11,1500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Boozman, John",2025-03-20,5000.00
HB STRATEGIES,,Sen. John Boozman,2025-03-03,1000.00
HB STRATEGIES,,Sen. Boozman,2025-02-27,2500.00
PENN AVENUE PARTNERS,,U.S. Senator John Boozman,2025-03-11,2000.00
MONUMENT ADVOCACY,,Sen. John Boozman,2025-06-20,1000.00
MONUMENT ADVOCACY,,Sen. John Boozman,2025-03-31,1000.00
VERTEX PHARMACEUTICALS INCORPORATED,Vertex Pharmaceuticals Incorporated PAC,Sen. John Boozman,2025-06-09,3500.00
NATIONAL CONFECTIONERS ASSOCIATION,National Confectioners Association of the United States Inc Political Action Committee Candy PAC,Sen John Boozman,2025-03-21,5000.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",John Boozman,2025-03-25,5000.00
COX ENTERPRISES INC.,Cox Enterprises PAC (COXPAC) Inc.,John Boozman,2025-02-14,5000.00
"THE CAPITAL GROUP COMPANIES, INC. AND ITS AFFILIATES",The Capital Group Companies Inc Political Action Committee,Sen John Boozman,2025-03-27,5000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Sen. John Boozman,2025-06-27,5000.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC",Sen. John Boozman (R),2025-03-17,3500.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC",Sen. John Boozman (R),2025-04-15,1500.00
EAST CAPITOL ADVISORS LLC,,Senator John Boozman,2025-03-03,1000.00
"MELTSNER STRATEGIES, LLC",,The Honorable John Boozman,2025-06-06,250.00
"ICEBREAKER STRATEGIES, LLC",,John Boozman,2025-03-30,3000.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Boozman, John",2025-02-24,5000.00
AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,American College of Surgeons Professional Association PAC,Sen. John Boozman,2025-06-11,2500.00
AMERICAN GASTROENTEROLOGICAL ASSOCIATION,AGA PAC,Senator John Boozman,2025-06-06,1000.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)",Sen. John Boozman,2025-03-04,1000.00
BRIAN GLACKIN & ASSOCIATES LLC,,Leadership PAC of John Boozman,2025-02-03,3000.00
CONSTITUTION PARTNERS,,Senator John Boozman,2025-02-27,2500.00
MORGAN STANLEY & CO. LLC,Morgan Stanley Political Action Committee,Sen. John Boozman,2025-04-16,2500.00
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Sen. John Boozman,2025-06-26,5000.00
"CASSIDY & ASSOCIATES, INC.",,Senator John Boozman,2025-03-06,2000.00
"AEROVIRONMENT, INC.",AEROVIRONMENT INC PAC,Sen John Boozman,2025-01-31,5000.00
SOUTHEASTERN LUMBER MANUFACTURERS ASSOCIATION,,Senator John Boozman,2025-01-13,5000.00
AFLAC INCORPORATED,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),Sen. John Boozman,2025-03-20,5000.00
3M COMPANY,3M Company PAC,Sen. John Boozman,2025-01-08,1000.00
"CASSIDY & ASSOCIATES, INC.",,John Boozman,2025-03-06,2000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. John Boozman,2025-02-26,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. John Boozman,2025-04-07,4000.00
AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION,RADPAC,SEN. JOHN BOOZMAN,2025-06-30,2500.00
CHENEGA CORPORATION,Chenega Corporation PAC,Hon. John Boozman,2025-03-26,5000.00
INTERNATIONAL DAIRY FOODS ASSOCIATION,International Dairy Foods Association (IDFA) PAC,Sen. John Boozman,2025-03-25,5000.00
"MAYNOR & STIERS, LLC",,Sen. John Boozman,2025-03-29,250.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,John Boozman,2025-02-04,5000.00
AMERICAN SOYBEAN ASSOCIATION,American Soybean Association PAC (SoyPAC),John Boozman,2025-03-31,5000.00
VENABLE LLP,VENABLE PAC (VEN-PAC),Sen. John Boozman,2025-03-18,3500.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",,Sen. John Boozman (R-AR),2025-02-21,2000.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Sen John Boozman,2025-05-07,2500.00
JBS USA FOOD COMPANY (PREVIOUSLY REGISTERED AS JBS USA LLC),JBS USA Food Company PAC,Sen. John Boozman (R-AR),2025-03-25,5000.00
FIERCE GOVERNMENT RELATIONS,,Honorable John Boozman,2025-03-31,2000.00
"CME GROUP, INC.",CME Group Inc. PAC,Sen. John Boozman,2025-03-13,5000.00
"CROSSROADS STRATEGIES, LLC",NASCOE PAC,John Boozman,2025-03-26,3500.00
NATIONAL ASSOCIATION OF CONVENIENCE STORES,National Association of Convenience Stores PAC,Sen. John Boozman (R),2025-06-25,5000.00
BANK OF AMERICA CORPORATION,Bank of America Corporation Federal PAC; Bank of America Corporation State and Federal PAC,John Boozman,2025-03-04,2500.00
SYNGENTA CORPORATION,SYNGENTA CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE,Sen. John Boozman,2025-04-29,2000.00
SYNGENTA CORPORATION,SYNGENTA CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE,Sen. John Boozman,2025-01-16,5000.00
ENVIRONMENTAL DEFENSE ACTION FUND,Environmental Defense Action Fund PAC (EDAF PAC),JOHN BOOZMAN,2025-05-16,1000.00
ZURICH,"Zurich Holding Company Of America, Inc. Committee For Good Government (Z-PAC, Zurich PAC)",John Boozman,2025-06-25,5000.00
"THE COLLING GROUP, LLC T/A COLLING SWIFT & HYNES",,The Honorable John Boozman,2025-02-18,1500.00
AMERICAN PHYSICAL THERAPY ASSOCIATION,American Physical Therapy Association Physical Therapy PAC,Senator John Boozman,2025-01-22,5000.00
VAN SCOYOC ASSOCIATES,,Senator John Boozman PAC,2025-03-31,1000.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Boozman, John",2025-03-12,2000.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Boozman, John",2025-03-12,5000.00
BAYER CORPORATION (CONSOLIDATED REPORT),Bayer US LLC Employee Political Action Committee (BayerPAC),Sen. John Boozman,2025-02-05,5000.00
HUNTINGTON INGALLS INDUSTRIES INCORPORATED,"Huntington Ingalls Industries, Inc. Employees Political Action Committee (HIIPAC)",John Boozman,2025-03-18,2500.00
HUNTINGTON INGALLS INDUSTRIES INCORPORATED,"Huntington Ingalls Industries, Inc. Employees Political Action Committee (HIIPAC)",John Boozman,2025-06-18,2500.00
"ENTERGY SERVICES, LLC",Entergy Corporation PAC (ENPAC),Sen. John Boozman,2025-06-12,5000.00
FUTURES INDUSTRY ASSOCIATION,FUTURES INDUSTRY POLITICAL ACTION COMMITTEE,John Boozman,2025-04-02,2500.00
ORACLE CORPORATION,"ORACLE AMERICA, INC. POLITICAL ACTION COMMITTEE (ORACLE PAC)",Sen. John Boozman,2025-02-19,5000.00
USA RICE FEDERATION,USA Rice Federation PAC,Sen. John Boozman,2025-01-09,5000.00
"LEIDOS, INC.",Leidos Inc. Political Action Committee,Rep. John Boozman,2025-03-24,1000.00
ASSOCIATION OF EQUIPMENT MANUFACTURERS,ASSOCIATION OF EQUIPMENT MANUFACTURERS PAC,Sen John Boozman,2025-06-24,5000.00
"TORREY ADVISORY GROUP (FORMERLY MICHAEL TORREY ASSOCIATES, LLC)",,John Boozman,2025-04-10,1000.00
"DOCUMENT STORAGE SYSTEMS, INC.",Document Storage Systems Inc DSS PAC,Sen John Boozman,2025-03-07,2500.00
"AE INDUSTRIAL PARTNERS, LP",AE INDUSTRIAL PARTNERS PAC INC.,Senator John Boozman,2025-03-27,2000.00
MICROSOFT CORPORATION,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,Sen. John Boozman,2025-06-24,5000.00
CHEVRON U.S.A. INC.,Chevron Employees Political Action Committee - Chevron Corporation,"Rep. Greg Meeks, Sen. John Boozman, Sen. Susan Collins and U.S. Ambassdor to the United Nations Linda Thomas-Greenfield",2025-01-10,20000.00
GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),General Electric Company Aerospace Employee Political Action Committee (GE Aerospace PAC),Sen. John Boozman,2025-03-03,5000.00
UPS (UNITED PARCEL SERVICE),"United Parcel Service, Inc. PAC (UPSPAC)",Sen. John Boozman,2025-04-02,1000.00
UPS (UNITED PARCEL SERVICE),"United Parcel Service, Inc. PAC (UPSPAC)",Sen. John Boozman,2025-03-14,1000.00
STERNHELL GROUP,,Sen. John Boozman,2025-06-19,3000.00
FEDERATION OF AMERICAN HOSPITALS,Federation of American Hospitals PAC (FedPAC),Sen. John Boozman,2025-06-25,1000.00
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,PhRMA Better Government Committee,"Boozman, John",2025-02-13,2500.00
"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",,Sen. Boozman (R-AR),2025-03-28,1000.00
"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",,Sen. Boozman (R-AR),2025-03-30,1000.00
THOLOS GOVERNMENT RELATIONS,,Senator Boozman,2025-03-21,500.00
VALENTINE STRATEGIES,,John Boozman,2025-03-07,2500.00
"NEALE CREEK, LLC",150PAC.Org,Senator John Boozman,2025-06-05,500.00
CAPITOL COUNSEL LLC,,Sen. John Boozman (R-AR),2025-04-24,3000.00
AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS,American Association of Oral and Maxillofacial Surgeons PAC,John Boozman,2025-04-30,1500.00
S-3 GROUP,,Sen. John Boozman,2025-03-14,1500.00
S-3 GROUP,,Sen. John Boozman,2025-06-25,1500.00
NUTRIEN US LLC (FORMERLY KNOWN AS AGRIUM U.S. INC.) (A NUTRIEN LTD SUBSIDIARY).,NUTRIEN AG SOLUTIONS EMPLOYEE CITIZENSHIP FUND POLITICAL ACT,Hon. John Boozman,2025-06-09,5000.00
"ROBINHOOD MARKETS, INC.",,Sen. John Boozman,2025-06-18,1000.00
LOCKHEED MARTIN CORPORATION,Lockheed Martin Employees' Political Action Committee,"Boozman, John",2025-02-26,5000.00
DOMTAR CORPORATION,RESOLUTE FOREST PRODUCTS INC. POLITICAL ACTION COMMITTEE AKA,Sen. John Boozman,2025-02-13,1000.00
