organization,pacs,honoree,date,amount_usd
HERMEUS CORP.,Hermeus Corp,Mike Collins for Congress,2025-02-11,1000.00
HERMEUS CORP.,Hermeus Corp,Mike Collins for Congress,2025-06-06,1000.00
"CARPI & CLAY, INC",,Representative Mike Collins,2025-04-21,500.00
"REPUBLIC CONSULTING, LLC",,Collins Victory Committee,2025-06-20,3500.00
VENN STRATEGIES,,Collins Victory Committee,2025-06-03,1000.00
HONIGMAN LLP,,Hon. Susan Collins,2025-03-01,100.00
TRUCK RENTING AND LEASING ASSOCIATION,TRALAPAC,Mike Collins,2025-06-04,2500.00
AMERICAN SENIORS HOUSING ASSOCIATION,Seniors Housing PAC,"Collins, Susan",2025-02-27,5000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Sen. Susan Collins,2025-06-09,1000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Sen. Susan Collins,2025-02-10,1000.00
CROWELL & MORING LLP,Crowell & Moring LLP Political Action Committee (C&M PAC),Sen. Susan Collins,2025-06-11,1500.00
DENTONS US LLP,Dentons PAC,Senator Susan Collins,2025-04-29,2500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Collins, Susan",2025-03-20,5000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Collins, Susan",2025-03-13,2500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Collins, Michael",2025-05-29,2500.00
ALLIANCE FOR PHYSICAL THERAPY QUALITY AND INNOVATION,,Sen. Susan Collins,2025-05-09,15000.00
STRATEGIC MARKETING INNOVATIONS,,Collins Victory Committee,2025-05-27,2500.00
STRATEGIC MARKETING INNOVATIONS,COLE PAC - Tom Cole; Narragansett Bay PAC (Jack Reed),Collins Victory Fund - Susan Collins,2025-06-27,3500.00
NATIONAL ASSOCIATION OF SOCIAL WORKERS,NASW-PACE,Susan Collins,2025-05-09,1000.00
ASSOCIATION FOR CLINICAL ONCOLOGY,ASCO Association Political Action Committee,Sen. Susan Collins,2025-03-12,1000.00
STRATEGIC MARKETING INNOVATIONS,,Collins Victory Committee,2025-05-19,1000.00
S-3 GROUP,,Sen. Susan Collins,2025-02-19,1000.00
"ERL FEDERAL CONSULTANTS, LLC",,Senator Susan Collins,2025-06-24,1000.00
AMERICAN AMBULANCE ASSOCIATION,American Ambulance Association Federal PAC,Susan Collins,2025-04-16,1000.00
AMERICAN AMBULANCE ASSOCIATION,American Ambulance Association Federal PAC,Susan Collins,2025-06-17,1000.00
SUN LIFE FINANCIAL (U.S.) SERVICES COMPANY INC.,SUN LIFE FINANCIAL (U.S.) SERVICES COMPANY INC PAC SUN LIFE,Senator Susan Collins,2025-03-03,2500.00
STEPTOE LLP,Steptoe PAC,Collins for Senator,2025-04-15,260.25
STEPTOE LLP,Steptoe PAC,Collins for Senator,2025-06-04,2000.00
GENERAL AVIATION MANUFACTURERS ASSOCIATION,GAMA PAC,Rep. Mike Collins,2025-06-05,1000.00
"CASSIDY & ASSOCIATES, INC.",,Rep. Mike Collins (GA),2025-01-22,1000.00
