organization,pacs,honoree,date,amount_usd
"K&L GATES, LLP",,Rep. Julie Fedorchak,2025-01-23,500.00
AMERICAN SENIORS HOUSING ASSOCIATION,Seniors Housing PAC,"Fedorchak, Julie",2025-03-11,1000.00
"K&L GATES, LLP",K&L Gates PAC,Congresswoman Julie Fedorchak,2025-01-23,500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Fedorchak, Julie",2025-06-10,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Fedorchak, Julie",2025-06-10,2500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Fedorchak, Julie",2025-06-09,2000.00
OWEN EVANS INGOLS,,Rep. Julie Fedorchak,2025-06-24,500.00
"DS2 GROUP, LLC",,Julie Fedorchak,2025-03-31,500.00
"NUCLEAR ENERGY INSTITUTE, INC.",NEI Federal PAC,Rep. Julie Fedorchak,2025-03-13,1000.00
STEPTOE LLP,Steptoe PAC,Fedorchak for ND,2025-03-17,1000.00
AMEREN SERVICES,Ameren Corporation Federal Political Action Committee Ameren FEDPAC,Rep Julie Fedorchak,2025-03-14,1000.00
ALLIANT ENERGY CORPORATION,ALLIANT ENERGY CORPORATION EMPLOYEE'S POLITICAL ACTION COMM,Representative Julie Fedorchak,2025-03-19,1000.00
"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",,Julie Fedorchak,2025-03-24,500.00
AMERICAN SUGARBEET GROWERS ASSOCIATION,,Congresswoman Julie Fedorchak,2025-03-20,1000.00
COX ENTERPRISES INC.,Cox Enterprises PAC (COXPAC) Inc.,Julie Fedorchak,2025-04-14,2500.00
RYAN COSTELLO STRATEGIES,,Congresswoman Fedorchak,2025-05-16,1000.00
RYAN COSTELLO STRATEGIES,Sheeder Leadership PAC,Congresswoman Fedorchak,2025-05-16,1000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Julie Fedorchak,2025-06-24,1000.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC",Rep. Julie Fedorchak (R),2025-05-19,1000.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Julie Fedorchak,2025-06-18,1000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)",Rep. Julie Fedorchak,2025-03-18,2500.00
