organization,pacs,honoree,date,amount_usd
CVS HEALTH (AND SUBSIDIARIES),,Congressman Abe Hamadeh,2025-03-31,500.00
"COINBASE, INC.","Coinbase, Inc. Innovation PAC",Rep. Abraham Hamadeh,2025-03-25,1500.00
VETERANS GUARDIAN VA CLAIM CONSULTING LLC,,Rep. Abe Hamadeh,2025-04-28,500.00
THE VOGEL GROUP,,Abe Hamadeh,2025-06-30,250.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Rep. Abraham Hamadeh,2025-03-26,1000.00
"BAE SYSTEMS, INC.",BAE Systems Inc. Political Action Committee (BAE SYSTEMS USA PAC),Rep. Abe Hamadeh,2025-06-30,1000.00
THE D MAJOR GROUP,,Rep. Abe Hamadeh (R-AZ),2025-03-26,500.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Rep. Abraham Hamadeh,2025-06-24,5000.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Rep. Abraham Hamadeh,2025-06-25,5000.00
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,Science Applications International Corporation Voluntary Political Action Committee,Rep. Abe Hamadeh,2025-06-18,1000.00
HUNTINGTON INGALLS INDUSTRIES INCORPORATED,"Huntington Ingalls Industries, Inc. Employees Political Action Committee (HIIPAC)",Abe Hamadeh,2025-06-18,1000.00
"LEIDOS, INC.",Leidos Inc. Political Action Committee,Rep. Abraham Hamadeh,2025-06-24,1000.00
INVARIANT LLC,House Conservatives Fund; JONI PAC; NRCC; NRSC,Abe Hamadeh,2025-05-29,250.00
NORTHROP GRUMMAN CORPORATION,Employees of Northrop Grumman Corporation PAC; Self,Rep. Abe Hamadeh,2025-06-25,1000.00
RTX CORPORATION AND AFFILIATES,Employees of RTX Corporation PAC,"Hamadeh, Abe",2025-06-19,1000.00
GENERAL ATOMICS,General Atomics Political Action Committee,Abe Hamadeh,2025-06-05,1000.00
GENERAL DYNAMICS CORP,General Dynamics Corporation Political Action Committee,Rep. Abraham Hamadeh,2025-06-16,1000.00
"L3HARRIS TECHNOLOGIES, INC.","L3Harris Technologies, Inc. PAC",Rep. Abraham Hamadeh,2025-03-28,1000.00
"L3HARRIS TECHNOLOGIES, INC.","L3Harris Technologies, Inc. PAC",Rep. Abraham Hamadeh,2025-06-30,2500.00
BGR GOVERNMENT AFFAIRS,,Abe Hamadeh,2025-06-02,500.00
"ELEVANCE HEALTH, INC.","Elevance Health, Inc. Political Action Committee (Elevance Health PAC)",Rep. Abe Hamadeh,2025-02-26,1000.00
"OLD NORTH STRATEGIES, LLC",Concerned Americans for Freedom & Opportunity PAC; Hispanic Leadership Trust; Lasting Investments Strengthening America PAC; New Energy in Washington House PAC,Hon. Abe Hamadeh,2025-06-02,500.00
PINNACLE WEST CAPITAL CORPORATION,Pinnacle West Capital Corporation PAC,Rep Abraham Hamadeh,2025-06-27,1000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep Abraham Hamadeh,2025-03-20,1000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep Abraham Hamadeh,2025-03-24,1000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep Abraham Hamadeh,2025-05-27,1000.00
"ASSOCIATED BUILDERS AND CONTRACTORS, INC.",,Rep. Abe Hamadeh,2025-03-24,1000.00
"ASSOCIATED BUILDERS AND CONTRACTORS, INC.",,Rep. Abe Hamadeh,2025-06-24,2500.00
"YC CONSULTING, LLC",,Abraham Hamadeh,2025-06-30,500.00
"AMERICAN DEFENSE INTERNATIONAL, INC.",,Abe Hamadeh,2025-06-24,250.00
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,FIREPAC,Abraham Hamadeh,2025-06-11,1000.00
"AMERICAN DEFENSE INTERNATIONAL, INC.",,Abe Hamadeh,2025-04-23,250.00
NAMMO INC.,Nammo Inc Political Action Committee (NEPAC),The Hnorable Abe Hamadeh,2025-06-05,1000.00
NATIONAL RIFLE ASSOCIATION OF AMERICA,National Rifle Association of America Political Victory Fund,"Hamadeh, Abraham",2025-05-16,1000.00
