organization,pacs,honoree,date,amount_usd
"LEMUNYON GROUP, LLC",,Congressman Dave Joyce,2025-03-27,500.00
RICH FEUER ANDERSON,,U.S. Representative John Joyce,2025-03-04,1500.00
NATIONAL MILK PRODUCERS FEDERATION,National Milk Producers Federation PAC,Rep. John Joyce,2025-05-13,1500.00
NATIONAL MILK PRODUCERS FEDERATION,,Rep. John Joyce,2025-05-13,1000.00
AMERICAN CHIROPRACTIC ASSOCIATION,American Chiropractic Association PAC,Rep. John Joyce,2025-03-04,2500.00
AMERICAN CHIROPRACTIC ASSOCIATION,American Chiropractic Association PAC,Rep. John Joyce,2025-05-13,1500.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. John Joyce,2025-01-13,5000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Team Joyce For Pennsylvania,2025-05-20,5000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Dave Joyce,2025-02-19,5000.00
"MARSH & MCLENNAN COMPANIES, INC.",Marsh & McLennan Companies PAC,Rep. Joyce Beatty,2025-06-12,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Joyce, David",2025-03-13,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Beatty, Joyce",2025-05-29,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Joyce, John",2025-02-13,2000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Beatty, Joyce",2025-03-20,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Joyce, John",2025-05-01,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Joyce, John",2025-05-29,1000.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",WRANGLER PAC,John Joyce,2025-06-30,1000.00
"DS2 GROUP, LLC",,John Joyce,2025-03-31,500.00
ASSOCIATION FOR CLINICAL ONCOLOGY,ASCO Association Political Action Committee,Rep. John Joyce,2025-05-28,5000.00
"ZIMMER BIOMET, INC.","Zimmer Biomet Holdings, Inc. PAC",Rep. John Joyce,2025-04-17,1000.00
"ZIMMER BIOMET, INC.","Zimmer Biomet Holdings, Inc. PAC",Rep. John Joyce,2025-05-27,1000.00
"SMITH & NEPHEW, INC.","Smith & Nephew, Inc. PAC (S+N PAC)","Joyce, John",2025-02-11,5000.00
"NUCLEAR ENERGY INSTITUTE, INC.",NEI Federal PAC,Rep. John Joyce,2025-05-15,1000.00
THE MCMANUS GROUP,,Rep. John Joyce (R-PA),2025-05-13,2500.00
PARAMOUNT GLOBAL,Paramount Global PAC,Rep. John Joyce,2025-06-26,1000.00
"GENENTECH, INC",,John Joyce,2025-03-31,500.00
FIERCE GOVERNMENT RELATIONS,,Rep John Joyce,2025-03-28,500.00
FIERCE GOVERNMENT RELATIONS,,Rep John Joyce,2025-06-30,500.00
AMEREN SERVICES,Ameren Corporation Federal Political Action Committee Ameren FEDPAC,Rep John Joyce,2025-05-23,1000.00
FIERCE GOVERNMENT RELATIONS,,Rep John Joyce,2025-03-31,500.00
NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION,NTCA Rural Broadband PAC,"Joyce, John",2025-05-30,2500.00
AMERICAN SOCIETY FOR RADIATION ONCOLOGY,American Society For Radiation Oncology PAC,Dr. John Joyce,2025-01-14,2500.00
AMERICAN PSYCHIATRIC ASSOCIATION,American Psychiatric Association Political Action Committee,John Joyce,2025-03-24,1000.00
AMERICAN PSYCHIATRIC ASSOCIATION,American Psychiatric Association Political Action Committee,John Joyce,2025-06-23,4000.00
AMERICAN PSYCHIATRIC ASSOCIATION,American Psychiatric Association Political Action Committee,John Joyce,2025-06-23,1000.00
VERTEX PHARMACEUTICALS INCORPORATED,Vertex Pharmaceuticals Incorporated PAC,Dr. John Joyce,2025-05-22,3000.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Joyce Beatty,2025-06-02,5000.00
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES","AFSCME PEOPLE Committee; AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Joyce Beatty,2025-02-19,2500.00
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES","AFSCME PEOPLE Committee; AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Joyce Beatty,2025-06-01,2500.00
ASTRAZENECA PHARMACEUTICALS LP,ALEXION PHARMACEUTICALS INC PAC; Zeneca Inc Political Action Committee AZPAC,Rep John Joyce,2025-03-25,5000.00
STERIS CORPORATION,STERIS Employee PAC,Rep. David Joyce,2025-03-19,5000.00
STERIS CORPORATION,STERIS Employee PAC,Rep. John Joyce,2025-04-23,2000.00
NATIONAL ASSOCIATION OF MANUFACTURERS,NAM-PAC,Dave Joyce,2025-03-24,2500.00
NATIONAL RURAL LETTER CARRIERS' ASSOCIATION,,Dave Joyce,2025-03-21,2500.00
THE OPTIONS CLEARING CORPORATION,Options Clearing Corporation PAC,Congresswoman Joyce Beatty,2025-06-23,1000.00
CORRIGAN & USSERY LLC,,Dave Joyce,2025-04-03,2000.00
PFIZER INC.,Pfizer Inc. PAC,Rep. John Joyce,2025-02-20,1000.00
PFIZER INC.,Pfizer Inc. PAC,Rep. John Joyce,2025-05-30,1500.00
ROCKET LP FKA RKT HOLDINGS,Rocket PAC,Representative Dave Joyce,2025-06-24,1000.00
COX ENTERPRISES INC.,Cox Enterprises PAC (COXPAC) Inc.,David Joyce,2025-02-14,2500.00
