organization,pacs,honoree,date,amount_usd
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Raja Krishnamoorthi,2025-02-05,1000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Raja Krishnamoorthi,2025-04-28,4000.00
"RAPISCAN SYSTEMS, INC.",OSI SYSTEMS INC PAC OSI PAC,Rep Raja Krishnamoorthi,2025-03-24,5000.00
PENN AVENUE PARTNERS,,U.S. Representative Raja Krishnamoorthi,2025-03-10,1000.00
PENN AVENUE PARTNERS,,U.S. Representative Raja Krishnamoorthi,2025-06-25,500.00
THERMO FISHER SCIENTIFIC INC.,THERMO FISHER SCIENTIFIC INC. PAC,REP. RAJA KRISHNAMOORTHI,2025-03-20,3000.00
PENN AVENUE PARTNERS,,U.S. Representative Raja Krishnamoorthi,2025-03-10,500.00
PENN AVENUE PARTNERS,,U.S. Representative Raja Krishnamoorthi,2025-06-26,1000.00
AMEREN SERVICES,Ameren Corporation Federal Political Action Committee Ameren FEDPAC,Rep Raja Krishnamoorthi,2025-03-14,5000.00
DUANE MORRIS LLP,Duane Morris Government Committee,Raja Krishnamoorthi,2025-06-04,5000.00
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES","AFSCME PEOPLE Committee; AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Raja Krishnamoorthi,2025-02-19,2500.00
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES","AFSCME PEOPLE Committee; AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Raja Krishnamoorthi,2025-06-01,2500.00
THE OPTIONS CLEARING CORPORATION,Options Clearing Corporation PAC,Congressman Raja Krishnamoorthi,2025-06-23,5000.00
ANCHOR GROUP LLC,,Rep. Raja Krishnamoorthi,2025-03-27,1000.00
AAR CORP.,AAR CORP. PAC,Rep. Raja S. Krishnamoorthi,2025-01-22,5000.00
COVESTRO LLC,CovestroPAC A Political Action Committee of Covestro LLC,"Rep. S. Raja Krishnamoorthi, Candidate, U.S. Senate",2025-06-05,1000.00
"NVG, LLC",Asian American Action Fund,Raja Krishnamoorthi,2025-05-07,250.00
"MEHLMAN CONSULTING, INC.",,Rep. Raja Krishnamoorthi,2025-03-11,500.00
"MEHLMAN CONSULTING, INC.",,Rep. Raja Krishnamoorthi,2025-06-30,500.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC",Rep. Raja Krishnamoorthi (D),2025-01-23,5000.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC",Rep. Raja Krishnamoorthi (D),2025-03-17,2500.00
"NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC.",National Electrical Contractors Association Political Action Committee,Rep Raja Krishnamoorthi,2025-04-30,5000.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Rep. Raja Krishnamoorthi,2025-03-26,5000.00
AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,American College of Surgeons Professional Association PAC,Rep. Raja Krishnamoorthi,2025-02-20,2500.00
AMERICAN GASTROENTEROLOGICAL ASSOCIATION,AGA PAC,Representative Raja Krishnamoorthi,2025-02-10,1000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"G Meng, J Chu, T Duckworth, M Hirono, A Bera, P Jayapal, R Khanna, A Kim, R Krishnamoorthi, T Lieu, D Matsui, B Scott, M Strickland, M Takano, S Thanedar, J Tokuda, D Min, D Tran, S Subramanyam",2025-01-23,5000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Krishnamoorthi, Raja",2025-04-29,5000.00
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,D.R.I.V.E.,RAJA KRISHNAMOORTHI,2025-03-25,1000.00
