organization,pacs,honoree,date,amount_usd
MISSION STRATEGIES LLC (ENERGY),Lobo PAC,Rep. Bob Latta,2025-01-22,1500.00
MISSION STRATEGIES LLC (ENERGY),,Rep. Bob Latta,2025-02-05,1500.00
MISSION STRATEGIES LLC (ENERGY),,Rep. Bob Latta,2025-02-18,500.00
MISSION STRATEGIES LLC (ENERGY),,Rep Bob Latta,2025-02-05,1000.00
CARPENTER STRATEGIC CONSULTING LLC,,The Hon. Bob Latta,2025-04-30,500.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Bob Latta,2025-04-01,1000.00
"K&L GATES, LLP",K&L Gates PAC,Congressman Bob Latta,2025-06-23,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Latta, Bob",2025-03-04,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Latta, Bob",2025-03-20,5000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Latta, Bob",2025-05-01,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Latta, Bob",2025-05-29,1000.00
AMERICAN HORTICULTURE INDUSTRY ASSOCIATION,,Bob Latta,2025-06-05,1000.00
AKIN GUMP STRAUSS HAUER & FELD,,Rep. Bob Latta,2025-06-16,1000.00
AMERICAN PUBLIC POWER ASSOCIATION,APPA PUBLIC OWNERSHIP OF ELECTRIC RESOURCES PAC,Rep. Robert Edward Latta,2025-01-31,2500.00
"BUNGE NORTH AMERICA, INC",BUNGE NORTH AMERICA INC POLITICAL ACTION COMMITTEE,Rep. Robert Edward Latta,2025-03-04,5000.00
"NUCLEAR ENERGY INSTITUTE, INC.",NEI Federal PAC,Rep. Bob Latta,2025-03-13,2500.00
AMEREN SERVICES,Ameren Corporation Federal Political Action Committee Ameren FEDPAC,Rep Bob Latta,2025-03-14,1000.00
FIERCE GOVERNMENT RELATIONS,,Rep Bob Latta,2025-03-21,1000.00
NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION,NTCA Rural Broadband PAC,"Latta, Bob",2025-04-04,1000.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Bob Latta,2025-06-02,1000.00
ASTRAZENECA PHARMACEUTICALS LP,ALEXION PHARMACEUTICALS INC PAC; Zeneca Inc Political Action Committee AZPAC,Rep Bob Latta,2025-06-12,2500.00
STERIS CORPORATION,STERIS Employee PAC,Rep. Robert Latta,2025-03-19,1000.00
HALEON US HOLDINGS LLC,HALEON US HOLDINGS LLC PAC,Rep Robert Latta,2025-06-26,1000.00
NATIONAL PROPANE GAS ASSOCIATION,National Propane Gas Association PAC,Rep. Bob Latta,2025-01-22,5000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Bob Latta,2025-06-27,2500.00
MEDICAL PROFESSIONAL LIABILITY ASSOCIATION,Medical Professional Liability Association PAC (MPL PAC),Cong. Bob Latta,2025-06-24,1000.00
EAST CAPITOL ADVISORS LLC,,Rep. Bob Latta,2025-04-29,500.00
THE LUBRIZOL CORPORATION,The Lubrizol Corporation Employees PAC,Rep. Bob Latta,2025-04-10,1000.00
THE LUBRIZOL CORPORATION,The Lubrizol Corporation Employees PAC,Rep. Bob Latta,2025-04-09,4000.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Latta, Bob",2025-03-11,1000.00
LIQUID ENERGY PIPELINE ASSOCIATION,Liquid Energy Pipeline Association PAC,Representative Bob Latta,2025-05-02,1000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)",Rep. Bob Latta,2025-05-19,2500.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)",Rep. Bob Latta,2025-04-21,1000.00
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,D.R.I.V.E.,BOB LATTA,2025-06-10,1000.00
"W STRATEGIES, LLC",,U.S. Representative Bob Latta,2025-06-23,1500.00
EDISON ELECTRIC INSTITUTE,PowerPAC of the Edison Electric Institute,Rep. Bob Latta,2025-03-31,2500.00
CONOCOPHILLIPS,ConocoPhillips SPIRIT PAC,Rep. Bob Latta,2025-06-16,2500.00
