organization,pacs,honoree,date,amount_usd
AMERICAN CHIROPRACTIC ASSOCIATION,American Chiropractic Association PAC,Rep. Richard Neal,2025-03-25,2500.00
AMERICAN SENIORS HOUSING ASSOCIATION,Seniors Housing PAC,"Neal, Richard",2025-02-03,2000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Richard Neal,2025-01-22,2500.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Richard Neal,2025-01-22,5000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Richard Neal,2025-04-25,1500.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Richard Neal,2025-04-01,1000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Neal Dunn,2025-03-10,2000.00
"MARSH & MCLENNAN COMPANIES, INC.",Marsh & McLennan Companies PAC,Rep. Richard Neal,2025-03-03,5000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Richard Neal,2025-03-31,250.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Dunn, Neal",2025-03-13,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Neal, Richard",2025-03-20,5000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Neal, Richard",2025-03-20,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Neal, Richard",2025-04-15,4000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Dunn, Neal",2025-06-10,1000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Richard Neal,2025-04-03,500.00
ALLIANCE FOR PHYSICAL THERAPY QUALITY AND INNOVATION,,Rep. Neal Dunn,2025-04-09,10000.00
ASSOCIATION FOR CLINICAL ONCOLOGY,ASCO Association Political Action Committee,Rep. Neal Dunn,2025-03-12,1000.00
POLSINELLI PC,Polsinelli PAC,Neal Dunn,2025-04-23,1000.00
AMERICAN AMBULANCE ASSOCIATION,American Ambulance Association Federal PAC,Richard Neal,2025-04-16,1000.00
THERMO FISHER SCIENTIFIC INC.,THERMO FISHER SCIENTIFIC INC. PAC,REP. RICHARD E. NEAL,2025-03-20,5000.00
VENN STRATEGIES,ESCA PAC,Richard Neal,2025-01-28,5000.00
THE O TEAM LLC,,U.S. Representative Neal Dunn,2025-02-20,500.00
SUN LIFE FINANCIAL (U.S.) SERVICES COMPANY INC.,SUN LIFE FINANCIAL (U.S.) SERVICES COMPANY INC PAC SUN LIFE,Congressman Richard E Neal,2025-05-23,2500.00
AMERICAN PUBLIC POWER ASSOCIATION,APPA PUBLIC OWNERSHIP OF ELECTRIC RESOURCES PAC,Rep. Richard Neal,2025-01-03,1000.00
AMERICAN PUBLIC POWER ASSOCIATION,APPA PUBLIC OWNERSHIP OF ELECTRIC RESOURCES PAC,Rep. Neal Dunn,2025-01-31,1000.00
AMERICAN PUBLIC POWER ASSOCIATION,APPA PUBLIC OWNERSHIP OF ELECTRIC RESOURCES PAC,Rep. Richard Neal,2025-01-31,2000.00
"ZIMMER BIOMET, INC.","Zimmer Biomet Holdings, Inc. PAC",Rep. Neal Dunn,2025-04-17,1000.00
PENN AVENUE PARTNERS,,U.S. Representative Neal Dunn,2025-03-11,500.00
"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",Hall Render Killian Heath Lyman Emp. PAC,Congressman Neal Dunn,2025-02-05,5000.00
"SMITH & NEPHEW, INC.","Smith & Nephew, Inc. PAC (S+N PAC)","Neal, Richard E MR.",2025-03-11,5000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",DSCC,Richard Neal,2025-04-03,1000.00
THE MCMANUS GROUP,,Rep. Neal Dunn (R-FL),2025-01-25,1250.00
THE MCMANUS GROUP,,Rep. Neal Dunn (R-FL),2025-04-27,2500.00
AZOA SERVICES CORP(ALLIANZ OF AMERICA) FORMERLY AZOA SERIVCES CORP/FIREMAN'S FUND(ALLIANZ OF AMERICA,AZOA Services Corp(Allianz of America) Formerly Firemans Fun,Representative Richard Neal,2025-06-26,1000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Representative Richard Neal,2025-04-04,500.00
AMERICAN SOCIETY FOR RADIATION ONCOLOGY,American Society For Radiation Oncology PAC,Dr. Neal Dunn,2025-01-22,1000.00
AMERICAN SOCIETY FOR RADIATION ONCOLOGY,American Society For Radiation Oncology PAC,Dr. Neal Dunn,2025-05-20,2000.00
AMERICAN PSYCHIATRIC ASSOCIATION,American Psychiatric Association Political Action Committee,Richard E Neal,2025-06-23,2000.00
VERTEX PHARMACEUTICALS INCORPORATED,Vertex Pharmaceuticals Incorporated PAC,Rep. Richard Neal,2025-02-05,5000.00
THORN RUN PARTNERS,,Neal Dunn,2025-03-04,500.00
THE OPTIONS CLEARING CORPORATION,Options Clearing Corporation PAC,Congressman Richard Neal,2025-03-04,5000.00
PFIZER INC.,Pfizer Inc. PAC,Rep. Richard Neal,2025-05-30,2500.00
DYKEMA GOSSETT PLLC,Dykema Gossett Federal PAC,Representative Neal Dunn,2025-02-27,1000.00
DYKEMA GOSSETT PLLC,Dykema Gossett Federal PAC,Representative Richard Neal,2025-06-19,1000.00
ROCKET LP FKA RKT HOLDINGS,Rocket PAC,Representative Richard Neal,2025-01-28,5000.00
COX ENTERPRISES INC.,Cox Enterprises PAC (COXPAC) Inc.,Richard Neal,2025-04-01,1000.00
COX ENTERPRISES INC.,Cox Enterprises PAC (COXPAC) Inc.,Neal Dunn,2025-04-24,2500.00
"IHEARTMEDIA, INC.","iHeartMedia, Inc. PAC",Richard Neal,2025-03-24,3500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",Mr. Smith PAC; NRCC,Richard Neal,2025-05-28,500.00
"THE CAPITAL GROUP COMPANIES, INC. AND ITS AFFILIATES",The Capital Group Companies Inc Political Action Committee,Rep Richard E Neal,2025-05-29,5000.00
AMERICAN ACADEMY OF OTOLARYNGOLOGY-HEAD AND NECK SURGERY,ENT PAC,Neal Dunn,2025-02-26,1000.00
AMERICAN ACADEMY OF OTOLARYNGOLOGY-HEAD AND NECK SURGERY,ENT PAC,Richard E Neal,2025-06-03,2500.00
"COURIER PLUS, INC. DBA DUTCHIE","Courier Plus, Inc. d/b/a Dutchie Political Action Committee",Rep. Richard Neal,2025-03-10,2500.00
THE ESOP ASSOCIATION,,Richard E. Neal,2025-05-21,2500.00
"MEHLMAN CONSULTING, INC.",,Rep. Richard Neal,2025-06-22,250.00
OGR,,Rep. Richard Neal,2025-03-18,1000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Richard Neal,2025-06-03,2500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,The Honorable Richard Neal,2025-04-03,500.00
MEDICAL PROFESSIONAL LIABILITY ASSOCIATION,Medical Professional Liability Association PAC (MPL PAC),"Cong. Neal Dunn, MD",2025-05-14,1000.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC",Rep. Richard Neal (D),2025-01-23,5000.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC",Rep. Neal Dunn (R),2025-03-17,1000.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC",Rep. Richard Neal (D),2025-06-16,1000.00
"HARGAN STRATEGIES, FORMERLY REPORTED AS HARGAN AND ASSOCIATES",,Neal Dunn,2025-04-25,500.00
"ICEBREAKER STRATEGIES, LLC",,Neal Dunn,2025-05-19,1500.00
"FEDERAL HALL POLICY ADVISORS, LLC",,Rep. Neal Dunn (R-FL),2025-04-02,500.00
"NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC.",National Electrical Contractors Association Political Action Committee,Rep Richard E Neal,2025-05-31,2500.00
"NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC.",National Electrical Contractors Association Political Action Committee,Rep Richard E Neal,2025-06-27,2500.00
AMERICAN ASSOCIATION OF NEUROLOGICAL SURGEONS,American Association of Neurological Surgeons PAC,Rep. Richard Neal (Mass-01),2025-04-30,2500.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Neal, Richard",2025-03-18,5000.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Neal, Richard",2025-05-29,2500.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Richard Neal,2025-03-26,5000.00
AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,American College of Surgeons Professional Association PAC,Rep. Richard Neal,2025-05-12,2500.00
AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,American College of Surgeons Professional Association PAC,Rep. Neal Dunn,2025-02-20,2500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Richard Neal,2025-04-07,150.00
"ALKERMES, INC.","Alkermes, Inc. Political Action Committee",Neal Dunn,2025-03-12,5000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"R Torres, M Takano, B Balint, J Johnson, D Wasserman Schultz, E Randall, L Fletcher, M Waters, M Quigley, R Neal, R Garcia, S McBride, S Peters, T Leger Fernandez, Z Lofgren",2025-02-05,5000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Neal, Richard",2025-02-05,2500.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Neal, Richard",2025-02-10,2500.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Neal, Richard",2025-03-25,5000.00
WESTERN ALLIANCE BANCORPORATION,WESTERN ALLIANCE BANCORPORATION POLITICAL ACTION COMMITTEE (WABPAC),Rep. Richard Neal,2025-03-06,5000.00
"BL PARTNERS GROUP, LLC",,Friends of Neal Dunn,2025-05-19,1000.00
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,D.R.I.V.E.,RICHARD E. NEAL,2025-06-10,1000.00
"THE PICARD GROUP, LLC",,Congressman Neal Dunn,2025-03-11,500.00
"THE PICARD GROUP, LLC",,Congressman Neal Dunn,2025-04-29,500.00
"THE PICARD GROUP, LLC",,Congressman Neal Dunn,2025-05-20,1500.00
"CENCORA, INC.","Cencora, Inc. PAC",Rep. Richard Neal,2025-03-04,5000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Neal Dunn,2025-05-19,1000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Richard Neal,2025-02-03,5000.00
THE AFFORDABLE HOUSING TAX CREDIT COALITION,Affordable Housing Tax Credit Coalition PAC,Rep. Richard Neal,2025-06-02,5000.00
MORGAN STANLEY & CO. LLC,Morgan Stanley Political Action Committee,Rep. Richard Neal,2025-05-23,2500.00
"CAPITOL TAX PARTNERS, LLP",,Richard Neal,2025-01-14,500.00
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Rep. Richard Neal,2025-05-21,1000.00
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Rep. Richard Neal,2025-03-26,5000.00
FMR LLC,FMR LLC Political Action Committee - Federal (Fidelity PAC),Rep. Richard Neal,2025-01-24,1000.00
"TD BANK, NA",TD Bank N.A. Political Action Committee,Richard Neal,2025-04-14,2500.00
"AMERICAN COLLEGE OF PHYSICIAN SERVICES, INC.",ACP Services PAC,Richard Neal,2025-05-07,2500.00
"AMERICAN COLLEGE OF PHYSICIAN SERVICES, INC.",ACP Services PAC,Neal Dunn,2025-02-26,2500.00
QUEST DIAGNOSTICS INCORPORATED,QUEST DIAGNOSTICS INCORPORATED PAC (QuestPAC) C00329185,Neal Dunn FL-2 US House,2025-06-17,2500.00
FORBES-TATE,,Richard Neal,2025-02-18,2500.00
LUNDBECK LLC,Lundbeck LLC Employee Political Action Committee,Neal Dunn,2025-03-06,1000.00
FORBES-TATE,,Richard Neal,2025-05-14,5000.00
"CASSIDY & ASSOCIATES, INC.",,Richard Neal,2025-02-26,1500.00
"CASSIDY & ASSOCIATES, INC.",,Richard Neal,2025-03-15,1000.00
"CASSIDY & ASSOCIATES, INC.",,Richard Neal,2025-04-09,1500.00
"CASSIDY & ASSOCIATES, INC.",,Richard Neal,2025-05-14,1000.00
"OWENS & MINOR, INC.","Owens & Minor, Inc. Political Action Committee",Neal Dunn,2025-02-27,5000.00
"ARDELYX, INC.","Ardelyx, Inc. Political Action Committee (ARDX PAC)",Rep. Ritchie Neal,2025-04-10,1000.00
"ARDELYX, INC.","Ardelyx, Inc. Political Action Committee (ARDX PAC)",Rep. Neal Dunn,2025-04-28,1000.00
BLACK & VEATCH,Black & Veatch PAC,Rep. Richard Neal,2025-02-11,2000.00
BLACK & VEATCH,Black & Veatch PAC,Rep. Richard Neal,2025-03-31,2500.00
"GENENTECH, INC",Genentech Inc. Political Action Committee (GenenPAC),Rep. Richard Neal,2025-05-01,1000.00
AMERICAN RESORT DEVELOPMENT ASSN,AMERICAN RESORT DEVELOPMENT ASSOCIATION RESORT OWNERS COALITION PAC (ARDA-ROC PAC),Rep. Richard Neal,2025-04-30,5000.00
AMERICAN RESORT DEVELOPMENT ASSN,AMERICAN RESORT DEVELOPMENT ASSOCIATION RESORT OWNERS COALITION PAC (ARDA-ROC PAC),Rep. Richard Neal,2025-04-15,5000.00
AMERICAN MEDICAL ASSOCIATION,American Medical Association Political Action Committee,"2025 AMA Awards for Outstanding Government Service. Five honorees, two covered officials: U.S. Rep. Neal Dunn, MD, and Presidential Appointee Maj. Gen. (ret.) Paul Friedrichs, MD.",2025-02-11,188709.84
"AMERIPRISE FINANCIAL, INC.",Ameriprise Financial Political Action Committee,Congressman Richard Neal,2025-05-27,2500.00
"TAKEDA PHARMACEUTICALS AMERICA, INC.",TAKEDA PHARMACEUTICALS AMERICA INC. PAC (C00441733),Richard Neal MA-1 US House,2025-06-05,5000.00
