organization,pacs,honoree,date,amount_usd
NATIONAL MILK PRODUCERS FEDERATION,,Rep. Jay Obernolte,2025-03-02,500.00
AMERICAN SENIORS HOUSING ASSOCIATION,Seniors Housing PAC,"Obernolte, Jay",2025-02-04,1000.00
AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,American Academy of Dermatology Association Political Action Committee (SkinPAC),Rep. Jay Obernolte,2025-02-10,1000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Obernolte, Jay",2025-06-24,2000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Obernolte, Jay",2025-02-13,1000.00
FORBES-TATE,,Jay Obernolte,2025-03-10,1000.00
"MEHLMAN CONSULTING, INC.",,Rep. Jay Obernolte,2025-06-16,500.00
"ADVANCED POLICY CONSULTING, LLC",,Rep. Jay Obernolte,2025-06-30,500.00
FIERCE GOVERNMENT RELATIONS,,Rep Jay Obernolte,2025-06-18,500.00
NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION,NTCA Rural Broadband PAC,"Obernolte, Jay",2025-04-04,1000.00
"MEHLMAN CONSULTING, INC.",,Jay Obernolte,2025-03-28,3500.00
ASTRAZENECA PHARMACEUTICALS LP,ALEXION PHARMACEUTICALS INC PAC; Zeneca Inc Political Action Committee AZPAC,Rep Jay Obernolte,2025-03-25,1000.00
ASSOCIATED GENERAL CONTRACTORS OF AMERICA,Associated General Contractors of America Political Action C,"Obernolte, Jay",2025-06-24,2000.00
"MEHLMAN CONSULTING, INC.",,Rep. Jay Obernolte,2025-03-31,1500.00
"TNC (US) HOLDINGS, INC.","The Nielsen Company (US), LLC Federal Political Action Committee (Nielsen PAC)",Rep. Jay Obernolte,2025-06-25,500.00
"TNC (US) HOLDINGS, INC.","The Nielsen Company (US), LLC Federal Political Action Committee (Nielsen PAC)",Rep. Jay Obernolte,2025-06-10,500.00
"AVOQ, LLC",,Representative Jay Obernolte,2025-02-06,500.00
