organization,pacs,honoree,date,amount_usd
NATIONAL MILK PRODUCERS FEDERATION,,Jimmy Patronis,2025-03-07,500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Patronis, Jimmy",2025-01-23,2000.00
MANATOS & MANATOS,,Jimmy Patronis,2025-03-15,1000.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",Jimmy Patronis,2025-03-19,5000.00
COX ENTERPRISES INC.,Cox Enterprises PAC (COXPAC) Inc.,Jimmy Patronis,2025-06-27,2500.00
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,American Israel Public Affairs Committee Political Action Committee,Rep Jimmy Patronis Jr,2025-03-10,5000.00
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,American Israel Public Affairs Committee Political Action Committee,Rep Jimmy Patronis Jr,2025-01-07,5000.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC","Rep. Jimmy Patronis, Jr. (R)",2025-01-22,5000.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC","Rep. Jimmy Patronis, Jr. (R)",2025-03-17,2500.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Jimmy Patronis,2025-01-22,5000.00
JOHN J. FASO CONSULTING LLC,,Jimmy Patronis,2025-03-05,1000.00
BALLARD PARTNERS,,Congressman Jimmy Patronis,2025-03-06,1000.00
AFLAC INCORPORATED,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),"Rep. Jimmy Patronis, Jr.",2025-06-24,1500.00
BALLARD PARTNERS,,Congressman Jimmy Patronis,2025-01-27,1000.00
BALLARD PARTNERS,,Congressman Jimmy Patronis,2025-03-12,1000.00
"GREENBERG TRAURIG, LLP","Greenberg Traurig, P.A. PAC",Jimmy Patronis,2025-01-02,1000.00
"GREENBERG TRAURIG, LLP","Greenberg Traurig, P.A. PAC",Jimmy Patronis,2025-06-09,1000.00
BALLARD PARTNERS,,Congressman Jimmy Patronis,2025-03-12,500.00
BALLARD PARTNERS,,Congressman Jimmy Patronis,2025-03-11,1000.00
SOUTHWEST AIRLINES,Southwest Airlines Co. Political Action Committee,Rep. Jimmy Patronis (R-FL),2025-01-22,2500.00
NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS,NAIFAPAC,"Patronis, Jimmy",2025-06-12,2500.00
"JONES WALKER, LLP",,Cong. Jimmy Patronis,2025-03-12,1000.00
AMERICAN HOTEL & LODGING ASSOCIATION,American Hotel and Lodging Association Political Action Committee HotelPAC,Rep Jimmy Patronis Jr,2025-01-06,2500.00
AMERICAN HEALTH CARE ASSOCIATION,American Health Care Association PAC,"Patronis, Jimmy",2025-03-14,1000.00
SAFARI CLUB INTERNATIONAL,Hunter Action Fund (HAF); Safari Club International PAC (SCI-PAC),JIMMY PATRONIS,2025-02-24,5000.00
"INNOVATIVE FEDERAL STRATEGIES, LLC",,Jimmy Patronis,2025-03-31,500.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Patronis, Jimmy",2025-03-29,2000.00
