organization,pacs,honoree,date,amount_usd
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES","AFSCME PEOPLE Committee; AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Delia Ramirez,2025-06-01,2500.00
"ECONOMIC SECURITY PROJECT ACTION, INC. AND ITS AFFILIATES",,Delia Ramirez,2025-03-24,1000.00
UTILITY WORKERS UNION OF AMERICA,UWUA Committee on Political Education,Rep. Delia Ramirez,2025-04-17,1000.00
UTILITY WORKERS UNION OF AMERICA,UWUA Committee on Political Education,Rep. Delia Ramirez,2025-05-15,1000.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Delia Ramirez,2025-06-10,2000.00
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,D.R.I.V.E.,DELIA RAMIREZ,2025-06-24,2500.00
INTERNATIONAL BROTHERHOOD OF TEAMSTERS,D.R.I.V.E.,DELIA RAMIREZ,2025-03-25,1000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Delia Ramirez,2025-06-16,1000.00
"TAI GINSBERG & ASSOCIATES, LLC",,Hon. Delia Ramirez,2025-03-24,2500.00
"TAI GINSBERG & ASSOCIATES, LLC",,Hon. Delia Ramirez,2025-06-16,1000.00
LEAGUE OF CONSERVATION VOTERS,League of Conservation Voters Action Fund,Delia Ramirez,2025-05-14,1000.00
SMITH GARSON FKA SMITH DAWSON & ANDREWS,,Rep. Delia Ramirez,2025-03-24,500.00
FLORIDA SUGAR CANE LEAGUE,Florida Sugar Cane League PAC,Congresswoman Delia Ramirez,2025-03-21,1000.00
COMMUNICATIONS WORKERS OF AMERICA,CWA-COPE PCC,DELIA RAMIREZ,2025-03-20,1000.00
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,Laborers International Union of North America (LIUNA PAC),"Ramirez, Delia",2025-05-05,2500.00
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,IUPAT Political Action Together Political Committee,"Ramirez, Delia",2025-03-17,2500.00
