organization,pacs,honoree,date,amount_usd
MCDERMOTT+ LLC,McDermottPAC,The Honorable Lauren Underwood,2025-05-15,1000.00
ASSOCIATION FOR CLINICAL ONCOLOGY,ASCO Association Political Action Committee,Rep. Lauren Underwood,2025-06-25,1500.00
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES","AFSCME PEOPLE Committee; AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Lauren Underwood,2025-06-01,2500.00
CONLON PUBLIC STRATEGIES,,Lauren Underwood,2025-04-14,1000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Lauren Underwood,2025-03-20,1000.00
MCDERMOTT WILL & SCHULTE LLP (FKA MCDERMOTT WILL & EMERY LLP),McDermott PAC,The Honorable Lauren Underwood,2025-05-15,500.00
MCDERMOTT WILL & SCHULTE LLP (FKA MCDERMOTT WILL & EMERY LLP),McDermott PAC,The Honorable Lauren Underwood,2025-05-15,1000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,Lauren Underwood,2025-04-11,2500.00
CAMBIA HEALTH SOLUTIONS,Cambia Health Solutions Inc. PAC,Rep. Lauren Underwood,2025-04-07,1000.00
SOUTHERN MINNESOTA BEET SUGAR COOP,Southern Minnesota Beet Sugar Cooperative PAC,Rep. Lauren Underwood,2025-05-22,2000.00
AMERICAN SPEECH-LANGUAGE-HEARING ASSOCIATION,ASHA-PAC,"Underwood, Lauren",2025-03-06,1000.00
3M COMPANY,3M Company PAC,Rep. Lauren Underwood,2025-06-18,2000.00
3M COMPANY,3M Company PAC,Rep. Lauren Underwood,2025-01-08,1500.00
FLORIDA SUGAR CANE LEAGUE,Florida Sugar Cane League PAC,Congresswoman Lauren Underwood,2025-04-15,1000.00
"ABBVIE, INC.",AbbVie Political Action Committee,Rep. Lauren Underwood,2025-06-27,2000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Lauren Underwood,2025-03-27,5000.00
THE COMPLETE AGENCY,,Lauren Underwood,2025-03-31,500.00
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,Laborers International Union of North America (LIUNA PAC),"Underwood, Lauren",2025-05-05,2500.00
CATHOLIC HEALTH ASSOCIATION OF THE UNITED STATES,,Lauren Underwood,2025-05-08,100.00
AMERICAN HOTEL & LODGING ASSOCIATION,American Hotel and Lodging Association Political Action Committee HotelPAC,Rep Lauren Underwood,2025-03-25,2500.00
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,IUPAT Political Action Together Political Committee,"Underwood, Lauren",2025-05-22,3000.00
