organization,pacs,honoree,date,amount_usd
HERMEUS CORP.,Hermeus Corp,Dave Valadao for Congress,2025-02-26,1000.00
VENN STRATEGIES,,Valadao for Congress,2025-05-13,250.00
NATIONAL MILK PRODUCERS FEDERATION,National Milk Producers Federation PAC,Rep. David Valadao,2025-06-06,3000.00
NATIONAL MILK PRODUCERS FEDERATION,,Rep. David Valadao,2025-03-21,1000.00
MARLA GROSSMAN LLC,,U.S. Representative David Valadao,2025-04-29,500.00
DENTONS US LLP,Dentons PAC,Congressman David Valadao,2025-02-04,1500.00
DENTONS US LLP,Dentons PAC,Congressman David Valadao,2025-05-28,1500.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Valadao, David",2025-06-24,2000.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Valadao, David",2025-02-13,1000.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",WRANGLER PAC,David Valadao,2025-03-30,2900.00
FORBES-TATE,,David Valadao,2025-03-26,1000.00
NATIONAL ASSOCIATION OF SOCIAL WORKERS,NASW-PACE,David Valadao,2025-06-24,1000.00
CUBIC CORPORATION,Cubic Corporation Employees Political Action Committee,Rep David Valadao,2025-05-27,1000.00
"CONGRESSIONAL SOLUTIONS, INC (CSI)",,David Valadao,2025-04-02,500.00
"NUCLEAR ENERGY INSTITUTE, INC.",NEI Federal PAC,Rep. David Valadao,2025-02-24,1000.00
INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,"Independent Insurance Agents & Brokers of America, Inc. PAC",David Valadao,2025-06-03,5000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. David Valadao,2025-03-04,1000.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. David Valadao,2025-06-27,1500.00
ASSOCIATED GENERAL CONTRACTORS OF AMERICA,Associated General Contractors of America Political Action C,"Valadao, David",2025-06-24,2500.00
ACG ADVOCACY,,U.S. Representative David Valadao,2025-04-29,1000.00
ACG ADVOCACY,,U.S. Representative David Valadao,2025-04-28,500.00
"NEXTERA ENERGY, INC.","NextEra Energy, Inc. PAC",Rep. David Valadao (R),2025-02-20,5000.00
"ICEBREAKER STRATEGIES, LLC",,David Valadao,2025-03-19,5000.00
NATIONAL CHICKEN COUNCIL,National Chicken Council PAC,Valadao for Congress,2025-05-13,2500.00
SHIFT5,Shift5 Political Action Committee,Rep. David Valadao,2025-06-30,3500.00
"NEXTERA ENERGY, INC.",,David Valadao,2025-01-24,1000.00
"NATIONAL MULTIFAMILY HOUSING COUNCIL, INC.",National Multifamily Housing Council and Real Estate Technology and Transformation Center PAC,"Valadao, David",2025-03-06,5000.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Rep. David Valadao,2025-01-21,1000.00
NATIONAL TURKEY FEDERATION,National Turkey Federation PAC,David Valadao,2025-06-05,1000.00
"KOCH GOVERNMENT AFFAIRS, LLC","Koch, Inc. Political Action Committee (KOCHPAC)",Rep. David Valadao,2025-06-12,5000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"M Diaz-Balart, T Gonzales, J Ciscomani, M De La Cruz, G Evans, C Gimenez, N Malliotakis, B Mast, M Salazar, D Valadao",2025-02-05,5000.00
NEW YORK LIFE INSURANCE COMPANY,New York Life Insurance Company Political Action Committee; New York Life Insurance Company State & Federal PAC,"Valadao, David",2025-02-05,2500.00
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)",Rep. David Valadao,2025-03-04,1000.00
BRIAN GLACKIN & ASSOCIATES LLC,,David Valadao,2025-05-21,1000.00
AMERICAN HOSPITAL ASSOCIATION,American Hospital Association Political Action Committee,David Valadao,2025-05-27,2500.00
A1.9 STRATEGIES LLC,,Rep. David Valadao of California,2025-05-19,1000.00
"ALPINE GROUP PARTNERS, LLC.",Walden for Congress,Hon. David Valadao,2025-03-25,1000.00
AMERICA'S ESSENTIAL HOSPITALS,America's Essential Hospitals Political Action Committee,David Valadao,2025-02-18,1500.00
AMERICA'S ESSENTIAL HOSPITALS,America's Essential Hospitals Political Action Committee,David Valadao,2025-05-20,3500.00
LIZ WILLIAMS AND COMPANY,,David Valadao,2025-04-02,500.00
LUNDBECK LLC,Lundbeck LLC Employee Political Action Committee,David Valadao,2025-04-02,1000.00
"RWE CLEAN ENERGY SERVICES, LLC","RWE Clean Energy Services, LLC PAC",David Valadao,2025-01-15,1500.00
MARATHON PETROLEUM COMPANY LP,Marathon Petroleum Corporation Employees Political Action Committee MPAC,Rep David Valadao,2025-06-20,2500.00
THE AES CORPORATION,The AES Corporation Political Action Committee,David Valadao,2025-02-19,1500.00
THE AES CORPORATION,The AES Corporation Political Action Committee,David Valadao,2025-03-26,1000.00
"STAPLETON & ASSOCIATES, LLC",,Congressman Valadao,2025-05-01,2000.00
MN8 ENERGY LLC,MN8 Energy LLC Political Action Committee MN8 PAC,Rep David Valadao,2025-02-10,2500.00
MN8 ENERGY LLC,MN8 Energy LLC Political Action Committee MN8 PAC,Rep David Valadao,2025-04-30,2500.00
MN8 ENERGY LLC,MN8 Energy LLC Political Action Committee MN8 PAC,Rep David Valadao,2025-04-30,2000.00
AMERICAN MEDICAL ASSOCIATION,American Medical Association Political Action Committee,David Valadao,2025-05-13,1000.00
"BAE SYSTEMS, INC.",BAE Systems Inc. Political Action Committee (BAE SYSTEMS USA PAC),Rep. David Valadao,2025-06-03,5000.00
"BAE SYSTEMS, INC.",BAE Systems Inc. Political Action Committee (BAE SYSTEMS USA PAC),Rep. David Valadao,2025-05-29,-5000.00
"BAE SYSTEMS, INC.",BAE Systems Inc. Political Action Committee (BAE SYSTEMS USA PAC),Rep. David Valadao,2025-03-11,5000.00
"AEROVIRONMENT, INC.",AEROVIRONMENT INC PAC,Rep David Valadao,2025-01-31,2500.00
"AEROVIRONMENT, INC.",AEROVIRONMENT INC PAC,Rep David Valadao,2025-03-04,1500.00
"AEROVIRONMENT, INC.",AEROVIRONMENT INC PAC,Rep David Valadao,2025-03-04,1000.00
"AEROVIRONMENT, INC.",AEROVIRONMENT INC PAC,Rep David Valadao,2025-06-05,1000.00
"BECKER & POLIAKOFF, P.A.",,Rep. David Valadao,2025-03-01,500.00
NATIONAL MARINE MANUFACTURERS ASSOCIATION,National Marine Manufacturers Association and Marine Retailers Association Boat PAC,Rep David Valadao,2025-04-01,1000.00
NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION,NEMAPAC,Rep. David Valadao,2025-01-09,1500.00
"BECKER & POLIAKOFF, P.A.",Heartland Values PAC,Rep. David Valadao,2025-03-01,500.00
CROSS POTOMAC CONSULTING LLC,National Shooting Sports Foundation,David Valadao,2025-02-21,500.00
S-3 GROUP,,David Valadao,2025-03-31,2500.00
S-3 GROUP,,David Valadao,2025-06-30,1000.00
VISTRA CORPORATE SERVICES COMPANY (FKA VISTRA CORP.),Vistra Employee Political Action Committee of Vistra Corp,Rep David Valadao,2025-04-03,1000.00
TEXTRON INC.,Textron Inc. Political Action Committee,"Valadao, David",2025-05-29,1000.00
PHILLIPS 66,Phillips 66 PAC,Rep David Valadao,2025-04-29,2500.00
FOLEY & LARDNER LLP,"Foley & Lardner Political Fund, Inc.",David Valadao,2025-06-26,2000.00
"CONSTELLATION ENERGY GENERATION, LLC",Constellation Energy Corporation Employee Political Action Committee (CEPAC),Rep. David Valadao,2025-06-27,3000.00
"CONSTELLATION ENERGY GENERATION, LLC",Constellation Energy Corporation Employee Political Action Committee (CEPAC),Rep. David Valadao,2025-06-16,1000.00
"CONSTELLATION ENERGY GENERATION, LLC",Constellation Energy Corporation Employee Political Action Committee (CEPAC),Rep. David Valadao,2025-03-21,1000.00
"MOLINA HEALTHCARE, INC.",Molina PAC,David Valadao,2025-02-20,5000.00
INVARIANT LLC,,Congressman David Valadao,2025-05-13,505.00
NORFOLK SOUTHERN CORPORATION,Norfolk Southern Corporation Good Government Fund,David Valadao,2025-06-24,1000.00
DLA PIPER LLP (US),DLA Piper PAC,David Valadao,2025-05-20,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. David Valadao,2025-04-07,5000.00
TARGET CORPORATION,Target Corp. Citizens Political Forum,David Valadao,2025-02-19,2500.00
INTERNATIONAL DAIRY FOODS ASSOCIATION,International Dairy Foods Association (IDFA) PAC,Rep. David Valadao,2025-03-25,1000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,David Valadao,2025-02-27,1000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,David Valadao,2025-04-24,2000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,David Valadao,2025-06-18,1000.00
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,Laborers International Union of North America (LIUNA PAC),"Valadao, David",2025-03-03,5000.00
CATHOLIC HEALTH ASSOCIATION OF THE UNITED STATES,,David Valadao,2025-05-14,500.00
PACIFIC GAS AND ELECTRIC COMPANY,,Rep. David Valadao,2025-03-28,1000.00
NATIONAL CORN GROWERS ASSN,National Corn Growers Association PAC (CornPAC),Rep. David Valadao,2025-03-31,1000.00
ASSOCIATION OF AMERICAN RAILROADS,RAILPAC,Rep. David Valadao,2025-06-20,1000.00
BNSF RAILWAY COMPANY,BNSF Railway Company RAILPAC (BNSF RAILPAC),David Valadao,2025-05-02,2500.00
BNSF RAILWAY COMPANY,BNSF Railway Company RAILPAC (BNSF RAILPAC),David Valadao,2025-06-09,2000.00
TENET HEALTHCARE CORPORATION,TENET HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE,Rep David Valadao,2025-03-24,2500.00
S-3 GROUP,,David Valadao,2025-03-25,250.00
AMERICAN HOTEL & LODGING ASSOCIATION,American Hotel and Lodging Association Political Action Committee HotelPAC,Rep David Valadao,2025-05-06,2500.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep David Valadao,2025-05-07,2500.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",BHFS-E PC PAC (Brownstein Hyatt Farber Schreck PAC),Rep. David Valadao,2025-05-13,1000.00
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),Ernst & Young Political Action Committee,Congressman David Valadao,2025-01-13,-2500.00
"HCA HEALTHCARE, INC.","HCA HEALTHCARE, INC. GOOD GOVERNMENT FUND",Rep. David Valadao,2025-06-19,2500.00
"SIERRA NEVADA COMPANY, LLC (F/K/A SIERRA NEVADA CORPORATION)",SIERRA NEVADA COMPANY LLC POLITICAL ACTION COMMITTEE,Rep David Valadao,2025-03-24,1000.00
"SIERRA NEVADA COMPANY, LLC (F/K/A SIERRA NEVADA CORPORATION)",SIERRA NEVADA COMPANY LLC POLITICAL ACTION COMMITTEE,Rep David Valadao,2025-05-22,1000.00
VALERO ENERGY CORPORATION,Valero Energy Corporation Political Action Committee,Rep. David Valadao,2025-06-24,5000.00
VALERO ENERGY CORPORATION,Valero Energy Corporation Political Action Committee,Rep. David Valadao,2025-06-24,2500.00
EDISON INTERNATIONAL,EDISON INTERNATIONAL PAC,DAVID VALADAO,2025-03-07,1000.00
HERMEUS CORP.,Hermeus Corp; Hermeus Corp,Dave Valadao for Congress,2025-02-26,1000.00
PACIFIC GAS AND ELECTRIC COMPANY,PG&E Corporation Employees EnergyPAC,Rep. David Valadao,2025-03-19,1000.00
"JONES WALKER, LLP",,Congressman David Valadao,2025-05-21,1000.00
ENVIRONMENTAL DEFENSE ACTION FUND,Environmental Defense Action Fund PAC (EDAF PAC),DAVID VALADAO,2025-02-27,1000.00
NATIONAL BEER WHOLESALERS ASSOCIATION,NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE,Rep David Valadao,2025-01-28,5000.00
NATIONAL BEER WHOLESALERS ASSOCIATION,NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE,Rep David Valadao,2025-03-24,2500.00
VAN SCOYOC ASSOCIATES,,Rep. David Valadao,2025-02-22,1000.00
GENERAL MOTORS COMPANY,General Motors Company Political Action Committee (GM PAC),Rep. David Valadao,2025-03-10,2500.00
"COVENANT GOVERNMENT AFFAIRS, LLC",,Valadao,2025-04-13,2500.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Rep. David Valadao,2025-06-24,2500.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Rep. David Valadao,2025-04-01,2500.00
EATON CORPORATION,National Electrical Manufacturers Association PAC (NEMAPAC),Rep. David Valadao,2025-01-09,1500.00
"INNOVATIVE FEDERAL STRATEGIES, LLC",,David Valadao,2025-03-31,3500.00
CHAMBER OF COMMERCE OF THE U.S.A.,U.S. Chamber PAC,David Valadao,2025-02-21,2500.00
PORTFOLIO STRATEGIES LLC,,Representative David Valadao,2025-05-22,500.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Valadao, David",2025-04-30,-2000.00
BAYER CORPORATION (CONSOLIDATED REPORT),Bayer US LLC Employee Political Action Committee (BayerPAC),Rep. David Valadao,2025-03-11,1000.00
HUNTINGTON INGALLS INDUSTRIES INCORPORATED,"Huntington Ingalls Industries, Inc. Employees Political Action Committee (HIIPAC)",David Valadao,2025-03-18,2000.00
HUNTINGTON INGALLS INDUSTRIES INCORPORATED,"Huntington Ingalls Industries, Inc. Employees Political Action Committee (HIIPAC)",David Valadao,2025-06-18,1000.00
INVESTMENT COMPANY INSTITUTE,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),Rep. David Valadao,2025-05-14,1000.00
USA RICE FEDERATION,USA Rice Federation PAC,Rep. David Valadao,2025-03-20,2500.00
"LEIDOS, INC.",Leidos Inc. Political Action Committee,Rep. David Valadao,2025-02-18,2500.00
"LEIDOS, INC.",Leidos Inc. Political Action Committee,Rep. David Valadao,2025-05-13,2500.00
"LEIDOS, INC.",Leidos Inc. Political Action Committee,Rep. David Valadao,2025-06-23,1000.00
INVENERGY LLC,Invenergy LLC PAC,"Valadao, David",2025-01-14,1500.00
SOLAR ENERGY INDUSTRIES ASSOCIATION,SOLAR ENERGY INDUSTRIES ASSOCIATION PAC (SOLARPAC),David Valadao,2025-05-30,2500.00
APPLIED INTUITION,"Applied Intuition PAC, Inc.",Representative David Valadao,2025-02-11,5000.00
CATERPILLAR INC.,Caterpillar Inc. Political Action Committee (CATPAC),David Valadao,2025-02-14,5000.00
"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC",Wine & Spirits Wholesalers of America PAC,Valadao For Congress,2025-03-20,500.00
"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC",Wine & Spirits Wholesalers of America PAC,Valadao For Congress,2025-04-09,2000.00
NORTHROP GRUMMAN CORPORATION,Employees of Northrop Grumman Corporation PAC; Self,Rep. David Valadao,2025-02-27,5000.00
SOUTHWEST AIRLINES PILOTS' ASSOCIATION,,Rep David Valadao,2025-03-06,1000.00
NATIONAL SHOOTING SPORTS FOUNDATION,National Shooting Sports Foundation PAC,Rep. David Valadao,2025-03-13,2500.00
NATIONAL SHOOTING SPORTS FOUNDATION,National Shooting Sports Foundation PAC,Rep. David Valadao,2025-06-16,2500.00
CSX CORPORATION,CSX Corporation Good Government Fund,David Valadao,2025-06-13,2000.00
"HEALTHEQUITY, INC.","HealthEquity Inc, PAC",Representative David Valadao,2025-06-10,2500.00
AMERICAN OPTOMETRIC ASSOCIATION,AOA-PAC,Congressman David Valadao,2025-03-26,2500.00
HOLLAND & KNIGHT LLP,Holland & Knight Committee for Effective Government,Rep. David Valadao,2025-02-26,1000.00
CHEVRON U.S.A. INC.,Chevron Employees Political Action Committee - Chevron Corporation,Rep. David Valadao,2025-04-21,5000.00
FEDERATION OF AMERICAN HOSPITALS,Federation of American Hospitals PAC (FedPAC),Rep. David Valadao,2025-04-10,5000.00
NATIONAL ASSOCIATION OF LETTER CARRIERS,Letter Carrier Political Fund,David Valadao,2025-06-27,5000.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,David Valadao,2025-02-19,1000.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,David Valadao,2025-03-26,2000.00
"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",,Cong. Valadao (R-CA),2025-02-22,7000.00
NATIONAL AGRICULTURAL AVIATION ASSOCIATION,,Valadao for Congress,2025-03-19,1000.00
MILLER-WENHOLD CAPITOL STRATEGIES,,Valadao for Congress,2025-05-21,1000.00
MARSHALL BRACHMAN,,Cong. David Valadao,2025-04-02,500.00
PARSONS CORPORATION,Parsons Political Action Committee,Rep. David Valadao,2025-06-16,3500.00
PARSONS CORPORATION,Parsons Political Action Committee,Rep. David Valadao,2025-06-18,1000.00
NATIONAL GROCERS ASSOCIATION,National Grocers Association Grocers PAC,David Valadao,2025-03-25,1000.00
AUTO CARE ASSOCIATION,Auto Care Association PAC,Rep. David Valadao,2025-03-07,2500.00
"MEHLMAN CONSULTING, INC.",,Representative David Valadao,2025-03-24,1000.00
LOCKHEED MARTIN CORPORATION,Lockheed Martin Employees' Political Action Committee,"Valadao, David",2025-02-26,1000.00
LOCKHEED MARTIN CORPORATION,Lockheed Martin Employees' Political Action Committee,"Valadao, David",2025-03-04,4000.00
RTX CORPORATION AND AFFILIATES,Employees of RTX Corporation PAC,"Valadao, David",2025-03-18,5000.00
RTX CORPORATION AND AFFILIATES,Employees of RTX Corporation PAC,"Valadao, David",2025-04-15,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),David Valadao,2025-05-30,1000.00
AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Ob-Gyns PAC (Ob-GynPAC),David Valadao,2025-06-30,1000.00
GENERAL ATOMICS,General Atomics Political Action Committee,David Valadao,2025-03-21,2500.00
GENERAL ATOMICS,General Atomics Political Action Committee,David Valadao,2025-06-05,2500.00
ALTRIA CLIENT SERVICES LLC,Altria Group Inc Political Action Committee AltriaPAC,Rep David Valadao,2025-03-19,1000.00
BALLARD SPAHR LLP,Ballard Spahr LLP PAC,"Valadao, David",2025-03-26,1000.00
COMCAST CORPORATION,Comcast Corporation & NBCUniversal Political Action Committee - Federal,"Rep. David Valadao, Rep. Young Kim, Rep. David Schweikert",2025-06-26,15000.00
"THE DOW CHEMICAL COMPANY, DBA DOW",DOW INC. PAC (DOWPAC),Rep. David Valadao (R),2025-05-30,1000.00
GENERAL DYNAMICS CORP,General Dynamics Corporation Political Action Committee,Rep. David Valadao,2025-03-20,1000.00
GENERAL DYNAMICS CORP,General Dynamics Corporation Political Action Committee,Rep. David Valadao,2025-05-01,4000.00
GENERAL DYNAMICS CORP,General Dynamics Corporation Political Action Committee,Rep. David Valadao,2025-05-29,1000.00
GENERAL DYNAMICS CORP,General Dynamics Corporation Political Action Committee,Rep. David Valadao,2025-05-01,5000.00
SPECIALTY EQUIPMENT MARKET ASSOCIATION,SEMA & PRI PAC,REP. DAVID VALADAO,2025-04-30,1000.00
THE KPM GROUP DC LLC,,David Valadao,2025-06-25,1000.00
"DOMINION ENERGY, INC.",Dominion Energy Inc Political Action Committee Dominion PAC,Rep David Valadao,2025-01-16,1500.00
GOOGLE CLIENT SERVICES LLC,Google LLC NetPAC,Rep. David Valadao,2025-03-14,2000.00
GOOGLE CLIENT SERVICES LLC,Google LLC NetPAC,Rep. David Valadao,2025-03-21,2000.00
ABBOTT LABORATORIES,Abbott Employees Political Action Committee (AEPAC),Rep. David Valadao,2025-06-16,2500.00
BGR GOVERNMENT AFFAIRS,,David Valadao,2025-03-11,1000.00
"ENGIE NORTH AMERICA, INC.",ENGIE NORTH AMERICA INC PAC ENA PAC,Rep David Valadao,2025-02-20,1500.00
NATIONAL RESTAURANT ASSOCIATION,National Restaurant Association PAC (Restaurant PAC),David Valadao,2025-06-23,2500.00
"NEUROCRINE BIOSCIENCES, INC",NEUROCRINE BIOSCIENCES INC.PAC,"EMMER,NRCC,CONG.LEADFUND,MILLER-MEEKS,EVANS,MACKENZIE,PERRY, BRESNAHAN,FITZPATRICK,BACON,BEGICH,CISCOMAN, VANORDEN,CALVERT,BARRETT,SCHWEIKER,NUNN,KIGGANS,KEAN,JAMES,LAWLER,VALADAO,ZINKE,CRANE,LUNA,ETC",2025-06-25,3500.00
"NEUROCRINE BIOSCIENCES, INC",NEUROCRINE BIOSCIENCES INC.PAC,"EMMER,NRCC,CONG.LEADFUND,MILLER-MEEKS,EVANS,MACKENZIE,PERRY, BRESNAHAN,FITZPATRICK,BACON,BEGICH,CISCOMAN, VANORDEN,CALVERT,BARRETT,SCHWEIKER,NUNN,KIGGANS,KEAN,JAMES,LAWLER,VALADAO,ZINKE,CRANE,LUNA,ETC",2025-06-25,1500.00
AMERICAN CLEAN POWER ASSOCIATION,AMERICAN CLEAN POWER ASSOCIATION CLEANPOWER PAC,Rep David Valadao,2025-03-05,2500.00
AMERICAN CLEAN POWER ASSOCIATION,AMERICAN CLEAN POWER ASSOCIATION CLEANPOWER PAC,Rep David Valadao,2025-01-21,2500.00
ANYWHERE REAL ESTATE INC.,Anywhere Real Estate Inc. PAC (Anywhere Real Estate PAC),"Valadao, David",2025-01-17,2500.00
"A10 ASSOCIATES, LLC",,Rep. David Valadao,2025-05-14,5600.00
"APPLIED RESEARCH ASSOCIATES, INC.",APPLIED RESEARCH ASSOCIATES INC POLITICAL ACTION COMMITTEE ARAPAC,Rep David Valadao,2025-03-05,2500.00
DELOITTE LLP,Deloitte Political Action Committee,David Valadao,2025-03-06,1000.00
DELOITTE LLP,Deloitte Political Action Committee,David Valadao,2025-06-01,1500.00
NFIB (NATIONAL FEDERATION OF INDEPENDENT BUSINESS),National Federation of Independent Business Political Action Committee,Rep. David Valadao (CA-022-R),2025-05-14,1000.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",,Representative David Valadao,2025-03-11,1000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep David Valadao,2025-03-20,1000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep David Valadao,2025-03-20,3000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep David Valadao,2025-02-27,1000.00
"INNOVATIVE FEDERAL STRATEGIES, LLC",,Rep. David Valadao,2025-03-31,500.00
"ASSOCIATED BUILDERS AND CONTRACTORS, INC.",,Rep. David Valadao,2025-06-24,2500.00
SHEET METAL & AIR CONDITIONING CONTRACTORS NAT'L ASSN,"Sheet Metal & Air Conditioning Contractors' National Assoc., Inc. Political Action Committee",Rep. David Valadao,2025-01-22,5000.00
BIOTECHNOLOGY INNOVATION ORGANIZATION,Biotechnology Innovation Organization; Biotechnology Innovation Organization PAC (BIO PAC),Rep. David Valadao,2025-03-13,2500.00
AMAZON.COM SERVICES LLC,Amazon.com Services LLC Separate Segregated Fund (Amazon PAC),Rep. David Valadao,2025-06-23,2500.00
DENTONS US LLP,,Rep. David Valadao,2025-01-15,1000.00
DENTONS US LLP,,Rep. David Valadao,2025-03-11,1000.00
NATIONAL APARTMENT ASSOCIATION,NATIONAL APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE,Rep. David Valadao,2025-03-24,5000.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",,David Valadao,2025-02-12,500.00
RELIABLE ROBOTICS CORPORATION,Reliable Robotics Corporation Political Action Committee,David Valadao,2025-05-23,500.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",,David Valadao,2025-06-30,1000.00
HOLLY STRATEGIES INCORPORATED,,Rep. David Valadao,2025-05-31,1000.00
AGRICULTURAL RETAILERS ASSOCIATION,Agricultural Retailers Association Political Action Committe,Rep David Valadao,2025-03-31,2500.00
PROFESSIONAL AVIATION SAFETY SPECIALISTS,,David Valadao,2025-03-25,1000.00
SPACE EXPLORATION TECHNOLOGIES,Space Exploration Technologies Corp PAC,David Valadao,2025-05-19,5000.00
STUMPTOWN STRATEGIES,,Rep. David Valadao,2025-03-28,500.00
"BLUE ORIGIN, LLC",Blue Origin LLC Political Action Committee (Blue Origin PAC),David Valadao,2025-02-24,2500.00
"NATIONAL STONE, SAND AND GRAVEL ASSOCIATION","National Stone, Sand & Gravel Association ROCKPAC",Rep. David Valadao,2025-05-12,1000.00
NATIONAL CATTLEMEN'S BEEF ASSOCIATION,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),Rep. David G. Valadao,2025-03-25,5000.00
