organization,pacs,honoree,date,amount_usd
PLUMBING-HEATING-COOLING CONTRACTORS--NATIONAL ASSOCIATION,NTL ASN OF PLUMBING-HEATING-COOLING CONTRACTORS AKA PHCC PAC,Rep. Tim Walberg (R-MI),2025-03-31,1000.00
HONIGMAN LLP,,Hon. Tim Walberg,2025-06-04,250.00
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Walberg, Tim",2025-02-13,5000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Tim Walberg,2025-02-27,500.00
"DOORDASH, INC.","DoorDash, Inc. Political Action Committee (DashPAC)",Rep. Timothy Walberg,2025-03-10,2500.00
"DOORDASH, INC.","DoorDash, Inc. Political Action Committee (DashPAC)",Rep. Timothy Walberg,2025-06-13,2000.00
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",,Tim Walberg,2025-03-05,1000.00
DUANE MORRIS LLP,Duane Morris Government Committee,Timothy Walberg,2025-01-23,2500.00
PACIFIC LIFE INSURANCE COMPANY,Pacific Life Political Action Committee,Rep. Tim Walberg,2025-03-27,1000.00
NATIONAL ASSOCIATION OF MANUFACTURERS,NAM-PAC,Tim Walberg,2025-03-25,2500.00
FAEGRE DRINKER BIDDLE & REATH LLP,Faegre Drinker PAC,Tim Walberg,2025-03-04,1000.00
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,American Israel Public Affairs Committee Political Action Committee,Rep Tim Walberg,2025-04-22,1000.00
INTERNATIONAL FOODSERVICE DISTRIBUTORS ASSOCIATION,International Foodservice Distributors Association PAC,Rep. Tim Walberg,2025-02-21,2500.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Tim Walberg,2025-03-12,2500.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Tim Walberg,2025-06-27,2500.00
AMERICAN BENEFITS COUNCIL,American Benefits Council PAC,Tim Walberg,2025-03-21,2500.00
AMERICAN STAFFING ASSOCIATION,American Staffing Association StaffingPAC,Rep. Tim Walberg,2025-01-28,2500.00
ASSOCIATED GENERAL CONTRACTORS OF AMERICA,Associated General Contractors of America Political Action C,"Walberg, Tim",2025-03-25,5000.00
