organization,pacs,honoree,date,amount_usd
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),America's Electric Cooperatives PAC,"Zinke, Ryan",2025-05-29,1000.00
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",WRANGLER PAC,Ryan Zinke,2025-06-30,1500.00
NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION,NTCA Rural Broadband PAC,"Zinke, Ryan",2025-04-04,2500.00
WALMART INC.,Walmart Inc. PAC For Responsible Government,Rep. Ryan Zinke,2025-03-28,1000.00
"NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC.",National Electrical Contractors Association Political Action Committee,Rep Ryan Zinke,2025-03-17,2500.00
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,America's Credit Unions PAC,Ryan Zinke,2025-03-19,2500.00
"HEALTH CARE SERVICE CORPORATION, A MUTUAL LEGAL RESERVE COMPANY (HCSC)",Health Care Service Corporation Employees Political Action Committee,Rep Ryan Zinke,2025-03-04,1000.00
CONSTITUTION PARTNERS,,Congressman Ryan Zinke,2025-04-08,3500.00
"ERVIN GRAVES STRATEGY GROUP, LLC","America's Future, Together PAC",Ryan K. Zinke,2025-06-30,1000.00
"S2R, LLC",,Rep. Ryan Zinke,2025-04-29,1000.00
BRODY GROUP L.L.C. PUBLIC AFFAIRS,,Congressman Ryan Zinke,2025-02-06,1000.00
CONOCOPHILLIPS,ConocoPhillips SPIRIT PAC,Rep. Ryan Zinke,2025-03-19,5000.00
"AEROVIRONMENT, INC.",AEROVIRONMENT INC PAC,Rep Ryan Zinke,2025-03-19,1000.00
"AEROVIRONMENT, INC.",AEROVIRONMENT INC PAC,Rep Ryan Zinke,2025-02-19,1000.00
CAPITOL 6 ADVISORS,,Ryan Zinke,2025-03-20,1000.00
"INNOVATIVE POLICY, PLLC",,Rep. Ryan Zinke (R-MT),2025-02-18,500.00
"INNOVATIVE POLICY, PLLC",,Rep. Ryan Zinke (R-MT),2025-06-10,500.00
"INNOVATIVE POLICY, PLLC",,Rep. Ryan Zinke (R-MT),2025-06-27,1000.00
AKIN GUMP STRAUSS HAUER & FELD,Texans for Lamar Smith,Ryan Zinke,2025-03-25,1000.00
TEXTRON INC.,Textron Inc. Political Action Committee,"Zinke, Ryan",2025-04-18,1000.00
TEXTRON INC.,Textron Inc. Political Action Committee,"Zinke, Ryan",2025-06-25,1000.00
PHILLIPS 66,Phillips 66 PAC,Rep Ryan Zinke,2025-03-20,2500.00
HARVEY RUN STRATEGIES LLC,Leadership for Enterprise and Opportunity PAC,Ryan Zinke,2025-01-17,1000.00
"CASSIDY & ASSOCIATES, INC.",,Ryan Zinke,2025-03-25,1000.00
AMERICAN CHEMISTRY COUNCIL,American Chemistry Council PAC,Rep. Ryan Zinke,2025-03-27,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Ryan Zinke,2025-02-26,1000.00
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,National Air Traffic Controllers Association PAC,Hon. Ryan Zinke,2025-06-17,1000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Ryan Zinke,2025-03-11,1000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Ryan Zinke,2025-05-30,5000.00
HONEYWELL INTERNATIONAL,Honeywell International Political Action Committee,Ryan Zinke,2025-06-18,2500.00
AMERICAN BANKERS ASSOCIATION,American Bankers Association PAC BANKPAC,Rep Ryan Zinke,2025-05-14,2500.00
ENERGY MARKETERS OF AMERICA,ENERGY MARKETERS OF AMERICA SMALL BUSINESS COMMITTEE PAC (EMA SBC PAC); Energy Marketers of America SBC PAC,Rep. Ryan Zinke,2025-01-30,2000.00
SAFARI CLUB INTERNATIONAL,Hunter Action Fund (HAF); Safari Club International PAC (SCI-PAC),RYAN K. ZINKE,2025-06-18,2500.00
"PHILIPS HOLDING USA, INC.",Philips North America LLC Political Action Committee,Congressman Ryan Zinke,2025-02-24,5000.00
THE COUNCIL OF INSURANCE AGENTS AND BROKERS,Council Of Insurance Agents & Brokers PAC,Zinke For Congress,2025-03-20,2500.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Rep. Ryan Zinke,2025-04-14,2500.00
"AT&T SERVICES, INC. AND ITS AFFILIATES",AT&T Inc. Federal Political Action Committee; AT&T Inc. Ohio Employee Federal Political Action Committee,"Zinke, Ryan",2025-06-26,2000.00
NORTHROP GRUMMAN CORPORATION,Employees of Northrop Grumman Corporation PAC; Self,Rep. Ryan Zinke,2025-05-20,2500.00
"MILLER STRATEGIES, LLC",,Rep. Ryan Zinke,2025-06-26,2500.00
"INT'L. ASSOCIATION OF BRIDGE, STRUCTURAL, ORNAMENTAL & REINFORCING IRON WORKERS",Iron Workers Political Action League; Ironworkers Political Education Fund,Ryan Zinke,2025-03-14,2500.00
"MILLER STRATEGIES, LLC",,Ryan Zinke,2025-04-22,500.00
ANIMAL WELLNESS ACTION,Animal Wellness Action PAC,"ZINKE, RYAN K",2025-06-25,1000.00
"SHELL USA, INC. (FKA SHELL OIL COMPANY)","SHELL USA, INC. EMPLOYEES' POLITICAL AWARENESS COMMITTEE","Sen. Alex Padilla, Rep. Ryan Zinke",2025-03-10,25000.00
"MORAN GLOBAL STRATEGIES, INC.",,Hon. Ryan Zinke,2025-03-22,2000.00
CHEVRON U.S.A. INC.,Chevron Employees Political Action Committee - Chevron Corporation,Rep. Ryan Zinke,2025-04-21,2500.00
NATIONAL ASSOCIATION OF REALTORS,National Association of Realtors Political Action Committee,Ryan Zinke,2025-03-26,2000.00
"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",,Cong. Zinke (R-MT),2025-05-30,3500.00
CHS INC.,,Ryan Zinke,2025-06-24,1500.00
LOCKHEED MARTIN CORPORATION,Lockheed Martin Employees' Political Action Committee,"Zinke, Ryan",2025-05-14,1000.00
RTX CORPORATION AND AFFILIATES,Employees of RTX Corporation PAC,"Zinke, Ryan",2025-03-18,1000.00
RTX CORPORATION AND AFFILIATES,Employees of RTX Corporation PAC,"Zinke, Ryan",2025-05-22,1000.00
MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),,Ryan Zinke,2025-03-25,500.00
GENERAL ATOMICS,General Atomics Political Action Committee,Ryan Zinke,2025-06-05,1000.00
AXON ENTERPRISE,,Ryan Zinke,2025-06-01,500.00
GENERAL DYNAMICS CORP,General Dynamics Corporation Political Action Committee,Rep. Ryan Zinke,2025-06-23,1000.00
"L3HARRIS TECHNOLOGIES, INC.","L3Harris Technologies, Inc. PAC",Rep. Ryan Zinke,2025-03-28,5000.00
"L3HARRIS TECHNOLOGIES, INC.","L3Harris Technologies, Inc. PAC",Rep. Ryan Zinke,2025-06-30,2500.00
PLAINS ALL AMERICAN GP LLC,PLAINS ALL AMERICAN GP LLC PAC,Rep Ryan Zinke,2025-03-25,1000.00
PLAINS ALL AMERICAN GP LLC,PLAINS ALL AMERICAN GP LLC PAC,Rep Ryan Zinke,2025-04-09,1500.00
GOOGLE CLIENT SERVICES LLC,Google LLC NetPAC,Rep. Ryan Zinke,2025-03-21,2000.00
GOOGLE CLIENT SERVICES LLC,Google LLC NetPAC,Rep. Ryan Zinke,2025-06-20,2000.00
"BLACKROCK FUNDS SERVICES GROUP, LLC",BlackRock Funds Services Group LLC Political Action Committee,Ryan Zinke,2025-06-30,2500.00
NATIONAL ASSOCIATION OF BROADCASTERS,National Association of Broadcasters Political Action Committee NABPAC,Rep Ryan Zinke,2025-06-18,1000.00
PINNACLE WEST CAPITAL CORPORATION,Pinnacle West Capital Corporation PAC,Rep Ryan Zinke,2025-06-27,2500.00
"NEUROCRINE BIOSCIENCES, INC",NEUROCRINE BIOSCIENCES INC.PAC,"EMMER,NRCC,CONG.LEADFUND,MILLER-MEEKS,EVANS,MACKENZIE,PERRY, BRESNAHAN,FITZPATRICK,BACON,BEGICH,CISCOMAN, VANORDEN,CALVERT,BARRETT,SCHWEIKER,NUNN,KIGGANS,KEAN,JAMES,LAWLER,VALADAO,ZINKE,CRANE,LUNA,ETC",2025-06-25,3500.00
"NEUROCRINE BIOSCIENCES, INC",NEUROCRINE BIOSCIENCES INC.PAC,"EMMER,NRCC,CONG.LEADFUND,MILLER-MEEKS,EVANS,MACKENZIE,PERRY, BRESNAHAN,FITZPATRICK,BACON,BEGICH,CISCOMAN, VANORDEN,CALVERT,BARRETT,SCHWEIKER,NUNN,KIGGANS,KEAN,JAMES,LAWLER,VALADAO,ZINKE,CRANE,LUNA,ETC",2025-06-25,1500.00
AKIN GUMP STRAUSS HAUER & FELD,,Ryan Zinke,2025-06-25,500.00
AXADVOCACY GOVERNMENT RELATIONS,,Rep. Ryan Zinke (R-MT),2025-04-06,1000.00
BOEING COMPANY,The Boeing Company Political Action Committee,Rep Ryan Zinke,2025-03-20,1000.00
SPACE EXPLORATION TECHNOLOGIES,Space Exploration Technologies Corp PAC,Ryan K Zinke,2025-05-19,5000.00
"BLUE ORIGIN, LLC",Blue Origin LLC Political Action Committee (Blue Origin PAC),Ryan Zinke,2025-04-22,2500.00
"NATIONAL STONE, SAND AND GRAVEL ASSOCIATION","National Stone, Sand & Gravel Association ROCKPAC",Rep. Ryan Zinke,2025-06-25,2500.00
HUMANE WORLD ACTION FUND AND AFFILIATES (FORMERLY KNOWN AS HUMANE SOCIETY LEGISLATIVE FUND),Humane World Action Fund PAC,"Norma Torres, Jeff Van Drew, Mike Waltz, Rudy Yakym, Ryan Zinke, Mike Braun, Tom Carper, John Cornyn, Kevin Cramer, Mike Crapo, Lindsey Graham, Bill Hagerty, Martin Heinrich, John Hoeven, John Kennedy",2025-04-03,435.00
"FEDERAL HALL POLICY ADVISORS, LLC",,Rep. Ryan Zinke,2025-03-21,1000.00
SIMPLOT CO. J.R.,SIMPAC,Ryan Zinke,2025-01-16,5000.00
NORTH AMERICAN EQUIPMENT DEALERS ASSOCIATION (FORMERLY KNOWN AS EQUIPMENT DEALER,NAEDA PAC,Ryan Zinke,2025-05-07,1000.00
NATIONAL FUNERAL DIRECTORS ASSN,National Funeral Directors Association PAC,Ryan Zinke,2025-03-18,2500.00
"MERIDIAN HILL STRATEGIES FORMERLY KNOWN AS ""ERNEST C. BAYNARD IV""",,Ryan Zinke,2025-05-16,1500.00
"T-MOBILE USA, INC.",T-MOBILE US INC. POLITICAL ACTION COMMITTEE (T-PAC),Ryan Zinke,2025-02-26,1000.00
BRAMER GROUP LLC,BANKS PAC; RFW PAC,"Sen. Jim Banks, Sen. McCormick, Rep. Trent Kelly, Rep. Rob Wittman, Rep. Guy Reschenthaler, Rep. Brian Mast, Rep. Ronny Jackson, Rep. John McGuire, Rep. Ryan Zinke, Rep. Tony Gonzales, Rep. Van Orden",2025-03-12,1750.00
BRAMER GROUP LLC,BANKS PAC; RFW PAC,"Sen. Jim Banks, Sen. McCormick, Rep. Trent Kelly, Rep. Rob Wittman, Rep. Guy Reschenthaler, Rep. Brian Mast, Rep. Ronny Jackson, Rep. John McGuire, Rep. Ryan Zinke, Rep. Tony Gonzales, Rep. Van Orden",2025-04-12,1750.00
BRAMER GROUP LLC,BANKS PAC; RFW PAC,"Sen. Jim Banks, Sen. McCormick, Rep. Trent Kelly, Rep. Rob Wittman, Rep. Guy Reschenthaler, Rep. Brian Mast, Rep. Ronny Jackson, Rep. John McGuire, Rep. Ryan Zinke, Rep. Tony Gonzales, Rep. Van Orden",2025-05-12,1750.00
BRAMER GROUP LLC,BANKS PAC; RFW PAC,"Sen. Jim Banks, Sen. McCormick, Rep. Trent Kelly, Rep. Rob Wittman, Rep. Guy Reschenthaler, Rep. Brian Mast, Rep. Ronny Jackson, Rep. John McGuire, Rep. Ryan Zinke, Rep. Tony Gonzales, Rep. Van Orden",2025-06-12,1750.00
"MZ ADVISING, LLC",,Ryan Zinke,2025-05-07,500.00
AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,American Fuels & Petrochemical Manufacturers Association PAC; American Fuels & Petrochemical Manufacturers Association PAC,Ryan Zinke,2025-05-27,1000.00
AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,American Fuels & Petrochemical Manufacturers Association PAC,Ryan Zinke,2025-05-27,1000.00
THE BERNHARDT GROUP LLC,,Ryan Zinke,2025-03-11,1000.00
THE BERNHARDT GROUP LLC,,Ryan Zinke,2025-03-20,1000.00
HOLLAND & KNIGHT LLP,National Republican Senatorial Committee,Ryan Zinke,2025-06-24,500.00
"AMERICAN DEFENSE INTERNATIONAL, INC.",,Ryan Zinke,2025-05-29,2500.00
RAFFANIELLO & ASSOCIATES,,Rep. Ryan Zinke,2025-06-03,1000.00
"AMERICAN DEFENSE INTERNATIONAL, INC.",,Ryan Zinke,2025-05-07,220.00
"AMERICAN DEFENSE INTERNATIONAL, INC.",,Ryan Zinke,2025-05-27,1000.00
CREIGHTON STRATEGIES GROUP,,Ryan Zinke,2025-02-23,500.00
CREIGHTON STRATEGIES GROUP,,Ryan Zinke,2025-04-02,1500.00
CREIGHTON STRATEGIES GROUP,,Ryan Zinke,2025-05-30,500.00
NATIONAL ASSOCIATION OF BROADCASTERS,,Rep. Ryan Zinke,2025-06-23,500.00
SALEM MEDIA GROUP,"Salem Media Group Political Action Committee, Inc","Rep. Ryan Zinke, MT-01",2025-04-08,3000.00
"MATTOON & ASSOCIATES, LLC",,The Honorable Ryan Zinke,2025-04-30,500.00
