county,precinct,office,district,candidate,party,votes,absentee,election_day,early_voting,mail,provisional,other
St. Lucie,Precinct 1,President,,Donald J. Trump,REP,2618,,-,-,-,-,
St. Lucie,Precinct 6,President,,Donald J. Trump,REP,767,,112,461,194,0,
St. Lucie,Precinct 7,President,,Donald J. Trump,REP,542,,-,-,-,-,
St. Lucie,Precinct 8,President,,Donald J. Trump,REP,1683,,-,-,-,-,
St. Lucie,Precinct 9,President,,Donald J. Trump,REP,1684,,494,497,693,0,
St. Lucie,Precinct 10,President,,Donald J. Trump,REP,213,,59,89,65,0,
St. Lucie,Precinct 11,President,,Donald J. Trump,REP,1026,,180,547,299,0,
St. Lucie,Precinct 12,President,,Donald J. Trump,REP,2799,,-,-,-,-,
St. Lucie,Precinct 13,President,,Donald J. Trump,REP,1273,,-,-,-,-,
St. Lucie,Precinct 14,President,,Donald J. Trump,REP,250,,-,-,-,-,
St. Lucie,Precinct 15,President,,Donald J. Trump,REP,2123,,-,-,-,-,
St. Lucie,Precinct 16,President,,Donald J. Trump,REP,2049,,603,689,757,0,
St. Lucie,Precinct 17,President,,Donald J. Trump,REP,97,,-,-,-,-,
St. Lucie,Precinct 18,President,,Donald J. Trump,REP,82,,-,-,-,-,
St. Lucie,Precinct 19,President,,Donald J. Trump,REP,439,,-,-,-,-,
St. Lucie,Precinct 20,President,,Donald J. Trump,REP,509,,172,190,147,0,
St. Lucie,Precinct 21,President,,Donald J. Trump,REP,1409,,-,-,-,-,
St. Lucie,Precinct 22,President,,Donald J. Trump,REP,1859,,343,979,537,0,
St. Lucie,Precinct 23,President,,Donald J. Trump,REP,1486,,-,-,-,-,
St. Lucie,Precinct 24,President,,Donald J. Trump,REP,181,,-,-,-,-,
St. Lucie,Precinct 25,President,,Donald J. Trump,REP,1497,,-,-,-,-,
St. Lucie,Precinct 26,President,,Donald J. Trump,REP,1712,,-,-,-,-,
St. Lucie,Precinct 28,President,,Donald J. Trump,REP,1481,,-,-,-,-,
St. Lucie,Precinct 29,President,,Donald J. Trump,REP,401,,70,249,82,0,
St. Lucie,Precinct 31,President,,Donald J. Trump,REP,990,,-,-,-,-,
St. Lucie,Precinct 33,President,,Donald J. Trump,REP,196,,-,-,-,-,
St. Lucie,Precinct 35,President,,Donald J. Trump,REP,737,,204,335,198,0,
St. Lucie,Precinct 36,President,,Donald J. Trump,REP,776,,147,425,204,0,
St. Lucie,Precinct 37,President,,Donald J. Trump,REP,2070,,516,986,568,0,
St. Lucie,Precinct 38,President,,Donald J. Trump,REP,691,,240,251,200,0,
St. Lucie,Precinct 39,President,,Donald J. Trump,REP,983,,-,-,-,-,
St. Lucie,Precinct 40,President,,Donald J. Trump,REP,726,,218,306,202,0,
St. Lucie,Precinct 41,President,,Donald J. Trump,REP,1721,,-,-,-,-,
St. Lucie,Precinct 42,President,,Donald J. Trump,REP,2572,,414,1198,960,0,
St. Lucie,Precinct 43,President,,Donald J. Trump,REP,2541,,-,-,-,-,
St. Lucie,Precinct 45,President,,Donald J. Trump,REP,1129,,-,-,-,-,
St. Lucie,Precinct 46,President,,Donald J. Trump,REP,1409,,-,-,-,-,
St. Lucie,Precinct 47,President,,Donald J. Trump,REP,1291,,336,616,339,0,
St. Lucie,Precinct 49,President,,Donald J. Trump,REP,2134,,-,-,-,-,
St. Lucie,Precinct 50,President,,Donald J. Trump,REP,3214,,-,-,-,-,
St. Lucie,Precinct 51,President,,Donald J. Trump,REP,1479,,-,-,-,-,
St. Lucie,Precinct 52,President,,Donald J. Trump,REP,997,,258,401,338,0,
St. Lucie,Precinct 53,President,,Donald J. Trump,REP,1763,,-,-,-,-,
St. Lucie,Precinct 56,President,,Donald J. Trump,REP,1234,,260,570,404,0,
St. Lucie,Precinct 60,President,,Donald J. Trump,REP,314,,-,-,-,-,
St. Lucie,Precinct 63,President,,Donald J. Trump,REP,70,,-,-,-,-,
St. Lucie,Precinct 65,President,,Donald J. Trump,REP,593,,-,-,-,-,
St. Lucie,Precinct 66,President,,Donald J. Trump,REP,1064,,-,-,-,-,
St. Lucie,Precinct 67,President,,Donald J. Trump,REP,1378,,307,570,501,0,
St. Lucie,Precinct 68,President,,Donald J. Trump,REP,1319,,-,-,-,-,
St. Lucie,Precinct 71,President,,Donald J. Trump,REP,2342,,528,1166,648,0,
St. Lucie,Precinct 73,President,,Donald J. Trump,REP,2279,,-,-,-,-,
St. Lucie,Precinct 74,President,,Donald J. Trump,REP,1263,,478,346,439,0,
St. Lucie,Precinct 75,President,,Donald J. Trump,REP,939,,202,474,263,0,
St. Lucie,Precinct 82,President,,Donald J. Trump,REP,1743,,-,-,-,-,
St. Lucie,Precinct 83,President,,Donald J. Trump,REP,2779,,-,-,-,-,
St. Lucie,Precinct 84,President,,Donald J. Trump,REP,2219,,-,-,-,-,
St. Lucie,Precinct 85,President,,Donald J. Trump,REP,5085,,772,2114,2199,0,
St. Lucie,Precinct 86,President,,Donald J. Trump,REP,1412,,227,628,557,0,
St. Lucie,Precinct 89,President,,Donald J. Trump,REP,4826,,-,-,-,-,
St. Lucie,Precinct 91,President,,Donald J. Trump,REP,240,,-,-,-,-,
St. Lucie,Precinct 92,President,,Donald J. Trump,REP,124,,-,-,-,-,
St. Lucie,Precinct 93,President,,Donald J. Trump,REP,4,,-,-,-,-,
St. Lucie,Precinct 94,President,,Donald J. Trump,REP,5,,-,-,-,-,
St. Lucie,Precinct 1,President,,Joseph R. Biden,DEM,1593,,-,-,-,-,
St. Lucie,Precinct 6,President,,Joseph R. Biden,DEM,1032,,-,-,-,-,
St. Lucie,Precinct 7,President,,Joseph R. Biden,DEM,1085,,-,-,-,-,
St. Lucie,Precinct 8,President,,Joseph R. Biden,DEM,927,,121,266,540,0,
St. Lucie,Precinct 9,President,,Joseph R. Biden,DEM,1019,,98,198,723,0,
St. Lucie,Precinct 10,President,,Joseph R. Biden,DEM,212,,31,73,108,0,
St. Lucie,Precinct 11,President,,Joseph R. Biden,DEM,808,,69,299,440,0,
St. Lucie,Precinct 12,President,,Joseph R. Biden,DEM,1299,,109,320,870,0,
St. Lucie,Precinct 13,President,,Joseph R. Biden,DEM,1112,,140,439,533,0,
St. Lucie,Precinct 14,President,,Joseph R. Biden,DEM,1812,,-,-,-,-,
St. Lucie,Precinct 15,President,,Joseph R. Biden,DEM,1167,,-,-,-,-,
St. Lucie,Precinct 16,President,,Joseph R. Biden,DEM,1224,,171,241,812,0,
St. Lucie,Precinct 17,President,,Joseph R. Biden,DEM,1935,,-,-,-,-,
St. Lucie,Precinct 18,President,,Joseph R. Biden,DEM,1104,,216,401,487,0,
St. Lucie,Precinct 19,President,,Joseph R. Biden,DEM,1400,,-,-,-,-,
St. Lucie,Precinct 20,President,,Joseph R. Biden,DEM,380,,52,84,244,0,
St. Lucie,Precinct 21,President,,Joseph R. Biden,DEM,1136,,166,277,693,0,
