county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Elbert,Elberton,U.S. Senate,,Republican,Herschel Walker,297,685,44,0
Elbert,Longstreet,U.S. Senate,,Republican,Herschel Walker,166,151,11,1
Elbert,Eliam,U.S. Senate,,Republican,Herschel Walker,206,181,19,1
Elbert,Petersburg,U.S. Senate,,Republican,Herschel Walker,152,71,3,0
Elbert,Wyche,U.S. Senate,,Republican,Herschel Walker,211,306,22,1
Elbert,Moss-Ruckersville,U.S. Senate,,Republican,Herschel Walker,96,103,9,0
Elbert,Pike,U.S. Senate,,Republican,Herschel Walker,309,280,14,2
Elbert,Gaines,U.S. Senate,,Republican,Herschel Walker,234,93,7,0
Elbert,Goshen,U.S. Senate,,Republican,Herschel Walker,505,286,12,1
Elbert,Webbsboro,U.S. Senate,,Republican,Herschel Walker,102,87,2,0
Elbert,Centerville,U.S. Senate,,Republican,Herschel Walker,255,197,13,0
Elbert,Elberton,U.S. Senate,,Democrat,Raphael Warnock,277,517,99,0
Elbert,Longstreet,U.S. Senate,,Democrat,Raphael Warnock,29,56,9,1
Elbert,Eliam,U.S. Senate,,Democrat,Raphael Warnock,32,41,9,2
Elbert,Petersburg,U.S. Senate,,Democrat,Raphael Warnock,19,17,3,0
Elbert,Wyche,U.S. Senate,,Democrat,Raphael Warnock,59,105,14,0
Elbert,Moss-Ruckersville,U.S. Senate,,Democrat,Raphael Warnock,27,38,17,0
Elbert,Pike,U.S. Senate,,Democrat,Raphael Warnock,69,184,58,3
Elbert,Gaines,U.S. Senate,,Democrat,Raphael Warnock,28,26,4,0
Elbert,Goshen,U.S. Senate,,Democrat,Raphael Warnock,75,69,21,0
Elbert,Webbsboro,U.S. Senate,,Democrat,Raphael Warnock,40,31,2,0
Elbert,Centerville,U.S. Senate,,Democrat,Raphael Warnock,44,39,11,2
Elbert,Elberton,U.S. Senate,,Libertarian,Chase Oliver,14,9,2,0
Elbert,Longstreet,U.S. Senate,,Libertarian,Chase Oliver,2,8,0,0
Elbert,Eliam,U.S. Senate,,Libertarian,Chase Oliver,3,0,1,0
Elbert,Petersburg,U.S. Senate,,Libertarian,Chase Oliver,0,2,0,0
Elbert,Wyche,U.S. Senate,,Libertarian,Chase Oliver,4,3,0,0
Elbert,Moss-Ruckersville,U.S. Senate,,Libertarian,Chase Oliver,4,3,0,0
Elbert,Pike,U.S. Senate,,Libertarian,Chase Oliver,5,5,0,0
Elbert,Gaines,U.S. Senate,,Libertarian,Chase Oliver,4,1,0,0
Elbert,Goshen,U.S. Senate,,Libertarian,Chase Oliver,6,1,2,0
Elbert,Webbsboro,U.S. Senate,,Libertarian,Chase Oliver,2,1,0,0
Elbert,Centerville,U.S. Senate,,Libertarian,Chase Oliver,7,1,0,0
Elbert,Elberton,Governor,,Republican,Brian Kemp,318,733,62,0
Elbert,Longstreet,Governor,,Republican,Brian Kemp,168,165,11,1
Elbert,Eliam,Governor,,Republican,Brian Kemp,214,184,20,1
Elbert,Petersburg,Governor,,Republican,Brian Kemp,152,77,4,0
Elbert,Wyche,Governor,,Republican,Brian Kemp,219,314,24,1
Elbert,Moss-Ruckersville,Governor,,Republican,Brian Kemp,100,105,10,0
Elbert,Pike,Governor,,Republican,Brian Kemp,320,287,20,2
Elbert,Gaines,Governor,,Republican,Brian Kemp,248,98,8,0
Elbert,Goshen,Governor,,Republican,Brian Kemp,511,292,15,1
Elbert,Webbsboro,Governor,,Republican,Brian Kemp,108,93,2,0
Elbert,Centerville,Governor,,Republican,Brian Kemp,262,202,16,1
Elbert,Elberton,Governor,,Democrat,Stacey Abrams,265,473,86,0
Elbert,Longstreet,Governor,,Democrat,Stacey Abrams,27,50,9,1
Elbert,Eliam,Governor,,Democrat,Stacey Abrams,24,38,9,2
Elbert,Petersburg,Governor,,Democrat,Stacey Abrams,19,13,2,0
Elbert,Wyche,Governor,,Democrat,Stacey Abrams,56,100,11,0
Elbert,Moss-Ruckersville,Governor,,Democrat,Stacey Abrams,27,39,16,0
Elbert,Pike,Governor,,Democrat,Stacey Abrams,60,180,56,3
Elbert,Gaines,Governor,,Democrat,Stacey Abrams,18,22,3,0
Elbert,Goshen,Governor,,Democrat,Stacey Abrams,73,65,19,0
Elbert,Webbsboro,Governor,,Democrat,Stacey Abrams,35,27,2,0
Elbert,Centerville,Governor,,Democrat,Stacey Abrams,40,37,8,1
Elbert,Elberton,Governor,,Libertarian,Shane Hazel,6,10,0,0
Elbert,Longstreet,Governor,,Libertarian,Shane Hazel,1,1,0,0
Elbert,Eliam,Governor,,Libertarian,Shane Hazel,4,0,0,0
Elbert,Petersburg,Governor,,Libertarian,Shane Hazel,0,0,0,0
Elbert,Wyche,Governor,,Libertarian,Shane Hazel,2,0,0,0
Elbert,Moss-Ruckersville,Governor,,Libertarian,Shane Hazel,1,0,0,0
Elbert,Pike,Governor,,Libertarian,Shane Hazel,2,1,0,0
Elbert,Gaines,Governor,,Libertarian,Shane Hazel,2,0,0,0
Elbert,Goshen,Governor,,Libertarian,Shane Hazel,3,0,1,0
Elbert,Webbsboro,Governor,,Libertarian,Shane Hazel,1,0,0,0
Elbert,Centerville,Governor,,Libertarian,Shane Hazel,4,0,0,0
Elbert,Elberton,Lieutenant Governor,,Republican,Burt Jones,310,708,53,0
Elbert,Longstreet,Lieutenant Governor,,Republican,Burt Jones,166,158,11,1
Elbert,Eliam,Lieutenant Governor,,Republican,Burt Jones,211,182,20,1
Elbert,Petersburg,Lieutenant Governor,,Republican,Burt Jones,151,72,3,0
Elbert,Wyche,Lieutenant Governor,,Republican,Burt Jones,213,308,22,1
Elbert,Moss-Ruckersville,Lieutenant Governor,,Republican,Burt Jones,99,103,10,0
Elbert,Pike,Lieutenant Governor,,Republican,Burt Jones,307,285,17,2
Elbert,Gaines,Lieutenant Governor,,Republican,Burt Jones,239,95,8,0
Elbert,Goshen,Lieutenant Governor,,Republican,Burt Jones,502,285,13,1
Elbert,Webbsboro,Lieutenant Governor,,Republican,Burt Jones,105,90,2,0
Elbert,Centerville,Lieutenant Governor,,Republican,Burt Jones,264,194,14,0
Elbert,Elberton,Lieutenant Governor,,Democrat,Charlie Bailey,261,476,91,0
Elbert,Longstreet,Lieutenant Governor,,Democrat,Charlie Bailey,29,53,9,1
Elbert,Eliam,Lieutenant Governor,,Democrat,Charlie Bailey,28,40,9,2
