county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Carroll,not available,State Senate,30,Democrat,Ashley Kecskes Godwin,484,274,23,0
Carroll,not available,State Senate,30,Republican,Renae Bell,171,71,0,0
Carroll,not available,State Senate,30,Republican,"Robert ""Bob"" Smith",349,66,4,0
Carroll,not available,State Senate,30,Republican,Timothy J. Bearden,1529,454,22,0
Columbia,not available,State House,125,Democrat,Kay Turner,449,124,2,0
Columbia,not available,State House,125,Libertarian,John Turpish,21,6,0,0
Columbia,not available,State House,125,Republican,CJ Pearson,1011,239,6,1
Columbia,not available,State House,125,Republican,Gary Richardson,1131,345,23,3
Columbia,not available,State House,125,Republican,Jim Steed,550,165,1,0
Douglas,not available,State Senate,30,Democrat,Ashley Kecskes Godwin,240,159,12,0
Douglas,not available,State Senate,30,Republican,Renae Bell,106,36,0,0
Douglas,not available,State Senate,30,Republican,"Robert ""Bob"" Smith",126,16,0,0
Douglas,not available,State Senate,30,Republican,Timothy J. Bearden,708,215,14,0
Haralson,not available,State Senate,30,Democrat,Ashley Kecskes Godwin,66,21,4,0
Haralson,not available,State Senate,30,Republican,Renae Bell,319,104,3,0
Haralson,not available,State Senate,30,Republican,"Robert ""Bob"" Smith",256,74,5,0
Haralson,not available,State Senate,30,Republican,Timothy J. Bearden,1102,311,21,0
McDuffie,not available,State House,125,Democrat,Kay Turner,10,19,8,0
McDuffie,not available,State House,125,Libertarian,John Turpish,0,0,0,0
McDuffie,not available,State House,125,Republican,CJ Pearson,81,52,0,0
McDuffie,not available,State House,125,Republican,Gary Richardson,103,86,3,0
McDuffie,not available,State House,125,Republican,Jim Steed,40,38,0,0
Paulding,not available,State Senate,30,Democrat,Ashley Kecskes Godwin,17,27,0,0
Paulding,not available,State Senate,30,Republican,Renae Bell,23,29,0,0
Paulding,not available,State Senate,30,Republican,"Robert ""Bob"" Smith",47,43,3,0
Paulding,not available,State Senate,30,Republican,Timothy J. Bearden,122,45,5,0
