county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Appling,not available,President,,Democrat,Dean Phillips,2,5,0,0
Appling,not available,President,,Democrat,"Joseph R. Biden, Jr.",87,85,21,0
Appling,not available,President,,Democrat,Marianne Williamson,6,2,0,0
Appling,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Appling,not available,President,,Republican,Chris Christie,0,0,0,0
Appling,not available,President,,Republican,David Stuckenberg,0,0,0,0
Appling,not available,President,,Republican,Donald J. Trump,1037,685,69,0
Appling,not available,President,,Republican,Doug Burgum,0,0,0,0
Appling,not available,President,,Republican,Nikki Haley,31,63,5,0
Appling,not available,President,,Republican,Perry Johnson,0,0,0,0
Appling,not available,President,,Republican,Ron DeSantis,5,4,0,0
Appling,not available,President,,Republican,Ryan L. Binkley,1,0,0,0
Appling,not available,President,,Republican,Tim Scott,0,2,0,0
Appling,not available,President,,Republican,Vivek Ramaswamy,0,0,0,0
Atkinson,not available,President,,Democrat,Dean Phillips,1,3,0,0
Atkinson,not available,President,,Democrat,"Joseph R. Biden, Jr.",26,48,9,0
Atkinson,not available,President,,Democrat,Marianne Williamson,0,3,0,0
Atkinson,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Atkinson,not available,President,,Republican,Chris Christie,0,1,0,0
Atkinson,not available,President,,Republican,David Stuckenberg,0,0,0,0
Atkinson,not available,President,,Republican,Donald J. Trump,265,188,11,0
Atkinson,not available,President,,Republican,Doug Burgum,1,0,0,0
Atkinson,not available,President,,Republican,Nikki Haley,4,4,1,0
Atkinson,not available,President,,Republican,Perry Johnson,0,0,0,0
Atkinson,not available,President,,Republican,Ron DeSantis,2,0,0,0
Atkinson,not available,President,,Republican,Ryan L. Binkley,0,0,0,0
Atkinson,not available,President,,Republican,Tim Scott,0,0,0,0
Atkinson,not available,President,,Republican,Vivek Ramaswamy,0,0,0,0
Bacon,not available,President,,Democrat,Dean Phillips,0,1,0,0
Bacon,not available,President,,Democrat,"Joseph R. Biden, Jr.",13,25,8,0
Bacon,not available,President,,Democrat,Marianne Williamson,0,2,4,0
Bacon,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Bacon,not available,President,,Republican,Chris Christie,0,0,0,0
Bacon,not available,President,,Republican,David Stuckenberg,0,0,0,0
Bacon,not available,President,,Republican,Donald J. Trump,364,657,22,0
Bacon,not available,President,,Republican,Doug Burgum,0,0,0,0
Bacon,not available,President,,Republican,Nikki Haley,6,48,3,0
Bacon,not available,President,,Republican,Perry Johnson,0,0,0,0
Bacon,not available,President,,Republican,Ron DeSantis,1,5,0,0
Bacon,not available,President,,Republican,Ryan L. Binkley,1,0,0,0
Bacon,not available,President,,Republican,Tim Scott,0,4,1,0
Bacon,not available,President,,Republican,Vivek Ramaswamy,1,0,0,0
Baker,not available,President,,Democrat,Dean Phillips,1,3,0,0
Baker,not available,President,,Democrat,"Joseph R. Biden, Jr.",45,71,12,1
Baker,not available,President,,Democrat,Marianne Williamson,2,6,0,0
Baker,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Baker,not available,President,,Republican,Chris Christie,0,0,0,0
Baker,not available,President,,Republican,David Stuckenberg,0,0,0,0
Baker,not available,President,,Republican,Donald J. Trump,133,100,7,1
Baker,not available,President,,Republican,Doug Burgum,0,0,0,0
Baker,not available,President,,Republican,Nikki Haley,7,6,0,0
Baker,not available,President,,Republican,Perry Johnson,0,0,0,0
Baker,not available,President,,Republican,Ron DeSantis,0,0,0,0
Baker,not available,President,,Republican,Ryan L. Binkley,1,0,0,0
Baker,not available,President,,Republican,Tim Scott,0,0,0,0
Baker,not available,President,,Republican,Vivek Ramaswamy,0,0,0,0
Baldwin,not available,President,,Democrat,Dean Phillips,13,12,1,0
Baldwin,not available,President,,Democrat,"Joseph R. Biden, Jr.",646,625,113,0
Baldwin,not available,President,,Democrat,Marianne Williamson,17,16,2,0
Baldwin,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Baldwin,not available,President,,Republican,Chris Christie,2,2,0,0
Baldwin,not available,President,,Republican,David Stuckenberg,0,0,0,0
Baldwin,not available,President,,Republican,Donald J. Trump,1213,869,52,1
Baldwin,not available,President,,Republican,Doug Burgum,0,1,0,0
Baldwin,not available,President,,Republican,Nikki Haley,64,171,9,0
Baldwin,not available,President,,Republican,Perry Johnson,0,0,0,0
Baldwin,not available,President,,Republican,Ron DeSantis,11,8,0,0
Baldwin,not available,President,,Republican,Ryan L. Binkley,2,2,0,0
Baldwin,not available,President,,Republican,Tim Scott,7,2,0,0
Baldwin,not available,President,,Republican,Vivek Ramaswamy,1,2,0,0
Banks,not available,President,,Democrat,Dean Phillips,0,2,0,0
Banks,not available,President,,Democrat,"Joseph R. Biden, Jr.",30,28,6,1
Banks,not available,President,,Democrat,Marianne Williamson,2,3,0,0
Banks,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Banks,not available,President,,Republican,Chris Christie,0,3,0,0
Banks,not available,President,,Republican,David Stuckenberg,0,0,0,0
Banks,not available,President,,Republican,Donald J. Trump,911,846,21,3
Banks,not available,President,,Republican,Doug Burgum,0,0,0,0
Banks,not available,President,,Republican,Nikki Haley,11,64,4,0
Banks,not available,President,,Republican,Perry Johnson,1,0,0,0
Banks,not available,President,,Republican,Ron DeSantis,9,13,0,0
Banks,not available,President,,Republican,Ryan L. Binkley,0,1,0,0
Banks,not available,President,,Republican,Tim Scott,0,0,0,0
Banks,not available,President,,Republican,Vivek Ramaswamy,1,0,0,0
Barrow,not available,President,,Democrat,Dean Phillips,14,9,0,0
Barrow,not available,President,,Democrat,"Joseph R. Biden, Jr.",337,383,51,0
Barrow,not available,President,,Democrat,Marianne Williamson,26,9,3,0
Barrow,not available,President,,Republican,Asa Hutchinson,1,0,0,0
Barrow,not available,President,,Republican,Chris Christie,13,4,2,0
Barrow,not available,President,,Republican,David Stuckenberg,0,0,0,0
Barrow,not available,President,,Republican,Donald J. Trump,2567,2222,93,0
Barrow,not available,President,,Republican,Doug Burgum,0,0,0,0
Barrow,not available,President,,Republican,Nikki Haley,127,299,25,0
Barrow,not available,President,,Republican,Perry Johnson,1,0,0,0
Barrow,not available,President,,Republican,Ron DeSantis,41,18,2,0
Barrow,not available,President,,Republican,Ryan L. Binkley,2,0,0,0
Barrow,not available,President,,Republican,Tim Scott,12,2,0,0
Barrow,not available,President,,Republican,Vivek Ramaswamy,7,6,0,0
Bartow,not available,President,,Democrat,Dean Phillips,13,7,1,0
Bartow,not available,President,,Democrat,"Joseph R. Biden, Jr.",532,379,63,0
Bartow,not available,President,,Democrat,Marianne Williamson,29,15,1,0
Bartow,not available,President,,Republican,Asa Hutchinson,0,1,0,0
Bartow,not available,President,,Republican,Chris Christie,20,8,3,0
Bartow,not available,President,,Republican,David Stuckenberg,0,0,0,0
Bartow,not available,President,,Republican,Donald J. Trump,4885,2504,135,3
Bartow,not available,President,,Republican,Doug Burgum,0,1,0,0
Bartow,not available,President,,Republican,Nikki Haley,191,344,28,0
Bartow,not available,President,,Republican,Perry Johnson,1,0,0,0
Bartow,not available,President,,Republican,Ron DeSantis,60,24,3,0
Bartow,not available,President,,Republican,Ryan L. Binkley,1,0,0,0
Bartow,not available,President,,Republican,Tim Scott,15,5,0,0
Bartow,not available,President,,Republican,Vivek Ramaswamy,12,7,1,0
Ben Hill,not available,President,,Democrat,Dean Phillips,3,12,0,0
Ben Hill,not available,President,,Democrat,"Joseph R. Biden, Jr.",115,211,12,0
Ben Hill,not available,President,,Democrat,Marianne Williamson,4,8,0,0
Ben Hill,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Ben Hill,not available,President,,Republican,Chris Christie,1,1,0,0
Ben Hill,not available,President,,Republican,David Stuckenberg,0,1,0,0
Ben Hill,not available,President,,Republican,Donald J. Trump,374,690,11,0
Ben Hill,not available,President,,Republican,Doug Burgum,0,0,0,0
Ben Hill,not available,President,,Republican,Nikki Haley,10,60,0,0
Ben Hill,not available,President,,Republican,Perry Johnson,0,0,0,0
Ben Hill,not available,President,,Republican,Ron DeSantis,3,11,0,0
Ben Hill,not available,President,,Republican,Ryan L. Binkley,0,0,0,0
Ben Hill,not available,President,,Republican,Tim Scott,3,1,0,0
Ben Hill,not available,President,,Republican,Vivek Ramaswamy,1,1,0,0
Berrien,not available,President,,Democrat,Dean Phillips,4,0,2,0
Berrien,not available,President,,Democrat,"Joseph R. Biden, Jr.",57,41,40,0
Berrien,not available,President,,Democrat,Marianne Williamson,3,2,0,0
Berrien,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Berrien,not available,President,,Republican,Chris Christie,0,1,2,0
Berrien,not available,President,,Republican,David Stuckenberg,0,0,0,0
Berrien,not available,President,,Republican,Donald J. Trump,834,597,58,0
Berrien,not available,President,,Republican,Doug Burgum,0,0,0,0
Berrien,not available,President,,Republican,Nikki Haley,16,35,10,0
Berrien,not available,President,,Republican,Perry Johnson,0,0,0,0
Berrien,not available,President,,Republican,Ron DeSantis,3,13,1,0
Berrien,not available,President,,Republican,Ryan L. Binkley,0,0,0,0
Berrien,not available,President,,Republican,Tim Scott,1,0,0,0
Berrien,not available,President,,Republican,Vivek Ramaswamy,0,1,0,0
Bibb,not available,President,,Democrat,Dean Phillips,66,43,7,0
Bibb,not available,President,,Democrat,"Joseph R. Biden, Jr.",3551,1996,497,9
Bibb,not available,President,,Democrat,Marianne Williamson,103,48,3,0
Bibb,not available,President,,Republican,Asa Hutchinson,6,2,0,0
Bibb,not available,President,,Republican,Chris Christie,12,5,3,0
Bibb,not available,President,,Republican,David Stuckenberg,3,1,0,0
Bibb,not available,President,,Republican,Donald J. Trump,3651,1273,135,4
Bibb,not available,President,,Republican,Doug Burgum,1,0,0,0
Bibb,not available,President,,Republican,Nikki Haley,284,300,52,1
Bibb,not available,President,,Republican,Perry Johnson,2,0,0,0
Bibb,not available,President,,Republican,Ron DeSantis,63,15,3,0
Bibb,not available,President,,Republican,Ryan L. Binkley,1,3,0,0
Bibb,not available,President,,Republican,Tim Scott,16,5,0,0
Bibb,not available,President,,Republican,Vivek Ramaswamy,5,3,0,0
Bleckley,not available,President,,Democrat,Dean Phillips,2,2,4,0
Bleckley,not available,President,,Democrat,"Joseph R. Biden, Jr.",44,61,7,0
Bleckley,not available,President,,Democrat,Marianne Williamson,2,5,7,0
Bleckley,not available,President,,Republican,Asa Hutchinson,0,0,0,0
Bleckley,not available,President,,Republican,Chris Christie,0,1,0,0
Bleckley,not available,President,,Republican,David Stuckenberg,0,0,0,0
Bleckley,not available,President,,Republican,Donald J. Trump,435,511,15,0
Bleckley,not available,President,,Republican,Doug Burgum,0,0,0,0
Bleckley,not available,President,,Republican,Nikki Haley,17,56,8,0
Bleckley,not available,President,,Republican,Perry Johnson,0,0,0,0
Bleckley,not available,President,,Republican,Ron DeSantis,7,9,0,0
Bleckley,not available,President,,Republican,Ryan L. Binkley,0,0,0,0
Bleckley,not available,President,,Republican,Tim Scott,2,1,0,0
Bleckley,not available,President,,Republican,Vivek Ramaswamy,1,1,0,0
Brantley,not available,President,,Democrat,Dean Phillips,3,1,0,0
Brantley,not available,President,,Democrat,"Joseph R. Biden, Jr.",31,37,6,0
Brantley,not available,President,,Democrat,Marianne Williamson,5,1,0,0
Brantley,not available,President,,Republican,Asa Hutchinson,1,0,0,0
Brantley,not available,President,,Republican,Chris Christie,2,1,0,0
Brantley,not available,President,,Republican,David Stuckenberg,0,0,0,0
Brantley,not available,President,,Republican,Donald J. Trump,882,704,23,0
Brantley,not available,President,,Republican,Doug Burgum,0,0,0,0
Brantley,not available,President,,Republican,Nikki Haley,10,26,0,0
Brantley,not available,President,,Republican,Perry Johnson,0,0,0,0
Brantley,not available,President,,Republican,Ron DeSantis,8,8,0,0
Brantley,not available,President,,Republican,Ryan L. Binkley,1,0,0,0
Brantley,not available,President,,Republican,Tim Scott,2,1,0,0
Brantley,not available,President,,Republican,Vivek Ramaswamy,0,1,0,0
Brooks,not available,President,,Democrat,Dean Phillips,3,1,2,0
Brooks,not available,President,,Democrat,"Joseph R. Biden, Jr.",112,181,33,0
Brooks,not available,President,,Democrat,Marianne Williamson,3,3,1,0
Brooks,not available,President,,Republican,Asa Hutchinson,2,0,0,0
Brooks,not available,President,,Republican,Chris Christie,1,0,0,0
Brooks,not available,President,,Republican,David Stuckenberg,0,0,0,0
Brooks,not available,President,,Republican,Donald J. Trump,608,329,12,0
Brooks,not available,President,,Republican,Doug Burgum,0,0,0,0
Brooks,not available,President,,Republican,Nikki Haley,15,20,5,0
Brooks,not available,President,,Republican,Perry Johnson,0,0,0,0
