county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Appling,not available,Appeals Court Judge,Mercier,Nonpartisan,Amanda H. Mercier,1915,1607,133,0
Appling,not available,Appeals Court Judge,Land,Nonpartisan,Ben Land,1909,1597,132,0
Appling,not available,Appeals Court Judge,Rickman,Nonpartisan,Brian M. Rickman,1908,1593,133,0
Appling,not available,Appeals Court Judge,Miller,Nonpartisan,Jeff Davis,1490,1215,106,0
Appling,not available,Appeals Court Judge,Watkins,Nonpartisan,Jeffrey A. Watkins,1905,1594,133,0
Appling,not available,Appeals Court Judge,Hodges,Nonpartisan,Ken Hodges,1931,1618,136,0
Appling,not available,Appeals Court Judge,Dillard,Nonpartisan,Stephen Dillard,1938,1621,133,0
Appling,not available,Appeals Court Judge,Miller,Nonpartisan,Tabitha Ponder,406,411,35,0
Appling,not available,District Attorney,Brunswick Judicial Circuit,Republican,John B. Johnson,689,601,47,0
Appling,not available,District Attorney,Brunswick Judicial Circuit,Republican,Keith Higgins,1253,1050,94,0
Appling,not available,State House,157,Republican,"William """"Bill"""" Werkheiser",1014,919,71,0
Appling,not available,State House,178,Republican,Steven Meeks,729,521,51,0
Appling,not available,State Senate,19,Republican,Blake Tillery,1811,1504,124,0
Appling,not available,Superior Court Judge,Brunswick Judicial Circuit,Nonpartisan,Anthony Harrison,1919,1607,131,0
Appling,not available,Superior Court Judge,Brunswick Judicial Circuit,Nonpartisan,Bert Guy,1913,1616,131,0
Appling,not available,Superior Court Judge,Brunswick Judicial Circuit,Nonpartisan,Stephen D. Kelley,1956,1661,140,0
Appling,not available,Superior Court Judge,Brunswick Judicial Circuit,Nonpartisan,Stephen G. Scarlett,1944,1630,136,0
Appling,not available,Supreme Court Justice,Pinson,Nonpartisan,Andrew Pinson,1356,1090,87,0
Appling,not available,Supreme Court Justice,Pinson,Nonpartisan,John Barrow,752,715,81,0
Appling,not available,Supreme Court Justice,Ellington,Nonpartisan,John J. Ellington,1951,1628,138,0
Appling,not available,Supreme Court Justice,Boggs,Nonpartisan,Michael P. Boggs,1945,1642,139,0
Appling,not available,Supreme Court Justice,Peterson,Nonpartisan,Nels Peterson,1927,1618,134,0
Appling,not available,U.S. House,1,Democrat,Patti Hewitt,138,143,18,0
Appling,not available,U.S. House,1,Republican,"Earl L. """"Buddy"""" Carter",1829,1519,126,0
Atkinson,not available,Appeals Court Judge,Mercier,Nonpartisan,Amanda H. Mercier,217,98,26,0
Atkinson,not available,Appeals Court Judge,Land,Nonpartisan,Ben Land,219,99,26,0
Atkinson,not available,Appeals Court Judge,Rickman,Nonpartisan,Brian M. Rickman,214,100,26,0
Atkinson,not available,Appeals Court Judge,Miller,Nonpartisan,Jeff Davis,182,82,19,0
Atkinson,not available,Appeals Court Judge,Watkins,Nonpartisan,Jeffrey A. Watkins,220,99,25,0
Atkinson,not available,Appeals Court Judge,Hodges,Nonpartisan,Ken Hodges,227,101,26,0
Atkinson,not available,Appeals Court Judge,Dillard,Nonpartisan,Stephen Dillard,224,100,25,0
Atkinson,not available,Appeals Court Judge,Miller,Nonpartisan,Tabitha Ponder,61,34,10,0
Atkinson,not available,District Attorney,Alapaha Judicial Circuit,Republican,Chase L. Studstill,175,69,15,0
Atkinson,not available,State House,176,Republican,James D. Burchett,174,69,15,0
Atkinson,not available,State Senate,8,Republican,Russ Goodman,166,71,16,0
Atkinson,not available,Superior Court Judge,Alapaha Judicial Circuit,Nonpartisan,Clayton 'Clay' Alan Tomlinson,226,111,27,0
Atkinson,not available,Supreme Court Justice,Pinson,Nonpartisan,Andrew Pinson,153,66,20,0
Atkinson,not available,Supreme Court Justice,Pinson,Nonpartisan,John Barrow,99,53,9,0
Atkinson,not available,Supreme Court Justice,Ellington,Nonpartisan,John J. Ellington,229,108,26,0
Atkinson,not available,Supreme Court Justice,Boggs,Nonpartisan,Michael P. Boggs,228,104,26,0
Atkinson,not available,Supreme Court Justice,Peterson,Nonpartisan,Nels Peterson,222,101,26,0
Atkinson,not available,U.S. House,8,Democrat,Darrius Butler,48,31,11,0
Atkinson,not available,U.S. House,8,Democrat,Vince Watkins,7,5,1,0
Atkinson,not available,U.S. House,8,Republican,Austin Scott,173,79,16,0
Bacon,not available,Appeals Court Judge,Mercier,Nonpartisan,Amanda H. Mercier,612,865,37,0
Bacon,not available,Appeals Court Judge,Land,Nonpartisan,Ben Land,612,871,38,0
Bacon,not available,Appeals Court Judge,Rickman,Nonpartisan,Brian M. Rickman,615,863,36,0
Bacon,not available,Appeals Court Judge,Miller,Nonpartisan,Jeff Davis,483,699,27,0
Bacon,not available,Appeals Court Judge,Watkins,Nonpartisan,Jeffrey A. Watkins,616,863,35,0
Bacon,not available,Appeals Court Judge,Hodges,Nonpartisan,Ken Hodges,620,874,37,0
