town,ward,precinct,office,district,party,candidate,votes
Lowell,5,3,U.S. Senate,,Republican,Kevin J. O'Connor,44
Springfield,1,E,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",184
Danvers,,4,U.S. Senate,,Republican,Blanks,4
Chicopee,3,B,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Northampton,4,A,U.S. Senate,,Republican,Blanks,0
Richmond,,1,U.S. House,1st,Democratic,Blanks,2
Rowe,,1,U.S. Senate,,Republican,Shiva Ayyadurai,12
Pepperell,,2,U.S. Senate,,Libertarian,Total Votes Cast,2
Plymouth,,4,U.S. House,9th,Republican,Total Votes Cast,192
Greenfield,,6,State House,2nd Berkshire,Democratic,All Others,2
N. Attleborough,,4,U.S. House,,Democratic,Total Votes Cast,462
Weymouth,,8,U.S. Senate,,Libertarian,Total Votes Cast,2
Leicester,,2,U.S. Senate,,Democratic,Edward J. Markey,208
Braintree,,2A,State House,5th Norfolk,Democratic,Blanks,76
Peru,,1,U.S. Senate,,Republican,Blanks,0
Plymouth,,2,Governor's Council,1st,Democratic,Blanks,187
Concord,,5,Governor's Council,3rd,Democratic,Blanks,205
Malden,7,2,Governor's Council,6th,Democratic,Helina Fontes,189
Natick,,5,U.S. House,5th,Democratic,Total Votes Cast,973
Marblehead,,5,U.S. Senate,,Democratic,Total Votes Cast,980
Deerfield,,1,U.S. Senate,,Republican,Total Votes Cast,180
Acushnet,,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",366
Mansfield,,2,U.S. Senate,,Democratic,All Others,0
Leominster,4,C,U.S. House,2nd,Democratic,All Others,1
Danvers,,2,U.S. House,6th,Republican,Total Votes Cast,219
Westfield,4,B,State House,4th Hampden,Republican,Blanks,4
Erving,,1,State House,2nd Franklin,Republican,All Others,9
Millis,,1,U.S. House,,Democratic,David Franklin Cavell,22
Woburn,5,2,U.S. House,5th,Republican,Caroline Colarusso,142
Northborough,,4,U.S. House,2nd,Republican,All Others,2
Westport,,A,State House,8th Bristol,Democratic,Total Votes Cast,547
Mansfield,,6,U.S. House,,Democratic,David Franklin Cavell,13
Wellesley,,H,U.S. House,,Democratic,Natalia Linos,161
Springfield,7,A,State House,11th Hampden,Republican,"Prince Golphin, Jr",56
Milford,,5,U.S. House,,Democratic,Jake Auchincloss,220
Leominster,5,B,U.S. Senate,,Democratic,All Others,0
Oakham,,1,U.S. House,2nd,Democratic,All Others,3
Boston,7,1,U.S. House,8th,Democratic,Stephen F. Lynch,317
Leominster,2,B,U.S. Senate,,Republican,Shiva Ayyadurai,70
Boston,5,10,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",110
Chelsea,4,3,U.S. House,7th,Republican,Rachel Nicole Miselman,0
Milford,,6,Governor's Council,7th,Democratic,Total Votes Cast,658
Springfield,7,F,U.S. House,1st,Democratic,All Others,0
Taunton,3,B,U.S. Senate,,Democratic,All Others,0
Boston,6,7,Governor's Council,4th,Democratic,Blanks,119
Springfield,7,C,Governor's Council,8th,Democratic,Blanks,116
Cambridge,11,1,U.S. Senate,,Republican,Kevin J. O'Connor,14
