county,precinct,office,district,candidate,party,votes,election_day,absentee
Tuscola,"Akron Township, Precinct 1",Straight Party,,Democratic,DEM,84,,
Tuscola,"Almer Charter Township, Precinct 1",Straight Party,,Democratic,DEM,135,,
Tuscola,"Arbela Township, Precinct 1",Straight Party,,Democratic,DEM,136,,
Tuscola,"Arbela Township, Precinct 2",Straight Party,,Democratic,DEM,125,,
Tuscola,"Caro City, Precinct 1",Straight Party,,Democratic,DEM,193,,
Tuscola,"Caro City, Precinct 2",Straight Party,,Democratic,DEM,132,,
Tuscola,"Columbia Township, Precinct 1",Straight Party,,Democratic,DEM,82,,
Tuscola,"Dayton Township, Precinct 1",Straight Party,,Democratic,DEM,162,,
Tuscola,"Denmark Township, Precinct 1",Straight Party,,Democratic,DEM,198,,
Tuscola,"Elkland Township, Precinct 1",Straight Party,,Democratic,DEM,272,,
Tuscola,"Ellington Township, Precinct 1",Straight Party,,Democratic,DEM,98,,
Tuscola,"Elmwood Township, Precinct 1",Straight Party,,Democratic,DEM,71,,
Tuscola,"Fairgrove Township, Precinct 1",Straight Party,,Democratic,DEM,104,,
Tuscola,"Fremont Township, Precinct 1",Straight Party,,Democratic,DEM,232,,
Tuscola,"Gilford Township, Precinct 1",Straight Party,,Democratic,DEM,55,,
Tuscola,"Indianfields Township, Precinct 1",Straight Party,,Democratic,DEM,159,,
Tuscola,"Juniata Township, Precinct 1",Straight Party,,Democratic,DEM,148,,
Tuscola,"Kingston Township, Precinct 1",Straight Party,,Democratic,DEM,93,,
Tuscola,"Koylton Township, Precinct 1",Straight Party,,Democratic,DEM,91,,
Tuscola,"Millington Township, Precinct 1",Straight Party,,Democratic,DEM,217,,
Tuscola,"Millington Township, Precinct 2",Straight Party,,Democratic,DEM,187,,
Tuscola,"Novesta Township, Precinct 1",Straight Party,,Democratic,DEM,85,,
Tuscola,"Tuscola Township, Precinct 1",Straight Party,,Democratic,DEM,156,,
Tuscola,"Vassar City, Precinct 1",Straight Party,,Democratic,DEM,225,,
Tuscola,"Vassar Township, Precinct 1",Straight Party,,Democratic,DEM,262,,
Tuscola,"Watertown Township, Precinct 1",Straight Party,,Democratic,DEM,171,,
Tuscola,"Wells Township, Precinct 1",Straight Party,,Democratic,DEM,103,,
Tuscola,"Wisner Township, Precinct 1",Straight Party,,Democratic,DEM,52,,
Tuscola,"Akron Township, Precinct 1",Straight Party,,Republican,REP,281,,
Tuscola,"Almer Charter Township, Precinct 1",Straight Party,,Republican,REP,371,,
Tuscola,"Arbela Township, Precinct 1",Straight Party,,Republican,REP,279,,
Tuscola,"Arbela Township, Precinct 2",Straight Party,,Republican,REP,215,,
Tuscola,"Caro City, Precinct 1",Straight Party,,Republican,REP,274,,
Tuscola,"Caro City, Precinct 2",Straight Party,,Republican,REP,189,,
Tuscola,"Columbia Township, Precinct 1",Straight Party,,Republican,REP,260,,
Tuscola,"Dayton Township, Precinct 1",Straight Party,,Republican,REP,376,,
Tuscola,"Denmark Township, Precinct 1",Straight Party,,Republican,REP,664,,
Tuscola,"Elkland Township, Precinct 1",Straight Party,,Republican,REP,589,,
Tuscola,"Ellington Township, Precinct 1",Straight Party,,Republican,REP,262,,
Tuscola,"Elmwood Township, Precinct 1",Straight Party,,Republican,REP,207,,
Tuscola,"Fairgrove Township, Precinct 1",Straight Party,,Republican,REP,259,,
Tuscola,"Fremont Township, Precinct 1",Straight Party,,Republican,REP,545,,
Tuscola,"Gilford Township, Precinct 1",Straight Party,,Republican,REP,159,,
Tuscola,"Indianfields Township, Precinct 1",Straight Party,,Republican,REP,392,,
Tuscola,"Juniata Township, Precinct 1",Straight Party,,Republican,REP,293,,
Tuscola,"Kingston Township, Precinct 1",Straight Party,,Republican,REP,303,,
Tuscola,"Koylton Township, Precinct 1",Straight Party,,Republican,REP,366,,
Tuscola,"Millington Township, Precinct 1",Straight Party,,Republican,REP,460,,
Tuscola,"Millington Township, Precinct 2",Straight Party,,Republican,REP,383,,
Tuscola,"Novesta Township, Precinct 1",Straight Party,,Republican,REP,296,,
Tuscola,"Tuscola Township, Precinct 1",Straight Party,,Republican,REP,382,,
Tuscola,"Vassar City, Precinct 1",Straight Party,,Republican,REP,355,,
Tuscola,"Vassar Township, Precinct 1",Straight Party,,Republican,REP,555,,
Tuscola,"Watertown Township, Precinct 1",Straight Party,,Republican,REP,408,,
Tuscola,"Wells Township, Precinct 1",Straight Party,,Republican,REP,317,,
Tuscola,"Wisner Township, Precinct 1",Straight Party,,Republican,REP,119,,
Tuscola,"Akron Township, Precinct 1",Straight Party,,Libertarian,LIB,2,,
Tuscola,"Almer Charter Township, Precinct 1",Straight Party,,Libertarian,LIB,1,,
Tuscola,"Arbela Township, Precinct 1",Straight Party,,Libertarian,LIB,1,,
Tuscola,"Arbela Township, Precinct 2",Straight Party,,Libertarian,LIB,1,,
Tuscola,"Caro City, Precinct 1",Straight Party,,Libertarian,LIB,8,,
Tuscola,"Caro City, Precinct 2",Straight Party,,Libertarian,LIB,1,,
Tuscola,"Columbia Township, Precinct 1",Straight Party,,Libertarian,LIB,0,,
Tuscola,"Dayton Township, Precinct 1",Straight Party,,Libertarian,LIB,0,,
Tuscola,"Denmark Township, Precinct 1",Straight Party,,Libertarian,LIB,6,,
Tuscola,"Elkland Township, Precinct 1",Straight Party,,Libertarian,LIB,6,,
Tuscola,"Ellington Township, Precinct 1",Straight Party,,Libertarian,LIB,0,,
Tuscola,"Elmwood Township, Precinct 1",Straight Party,,Libertarian,LIB,4,,
Tuscola,"Fairgrove Township, Precinct 1",Straight Party,,Libertarian,LIB,2,,
Tuscola,"Fremont Township, Precinct 1",Straight Party,,Libertarian,LIB,6,,
Tuscola,"Gilford Township, Precinct 1",Straight Party,,Libertarian,LIB,1,,
Tuscola,"Indianfields Township, Precinct 1",Straight Party,,Libertarian,LIB,5,,
Tuscola,"Juniata Township, Precinct 1",Straight Party,,Libertarian,LIB,1,,
Tuscola,"Kingston Township, Precinct 1",Straight Party,,Libertarian,LIB,3,,
Tuscola,"Koylton Township, Precinct 1",Straight Party,,Libertarian,LIB,2,,
Tuscola,"Millington Township, Precinct 1",Straight Party,,Libertarian,LIB,2,,
Tuscola,"Millington Township, Precinct 2",Straight Party,,Libertarian,LIB,4,,
Tuscola,"Novesta Township, Precinct 1",Straight Party,,Libertarian,LIB,4,,
Tuscola,"Tuscola Township, Precinct 1",Straight Party,,Libertarian,LIB,7,,
Tuscola,"Vassar City, Precinct 1",Straight Party,,Libertarian,LIB,2,,
Tuscola,"Vassar Township, Precinct 1",Straight Party,,Libertarian,LIB,8,,
Tuscola,"Watertown Township, Precinct 1",Straight Party,,Libertarian,LIB,0,,
Tuscola,"Wells Township, Precinct 1",Straight Party,,Libertarian,LIB,0,,
Tuscola,"Wisner Township, Precinct 1",Straight Party,,Libertarian,LIB,0,,
Tuscola,"Akron Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,,
Tuscola,"Almer Charter Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,2,,
Tuscola,"Arbela Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,3,,
Tuscola,"Arbela Township, Precinct 2",Straight Party,,U.S. Taxpayers,UST,3,,
Tuscola,"Caro City, Precinct 1",Straight Party,,U.S. Taxpayers,UST,1,,
Tuscola,"Caro City, Precinct 2",Straight Party,,U.S. Taxpayers,UST,3,,
Tuscola,"Columbia Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,,
Tuscola,"Dayton Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,,
Tuscola,"Denmark Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,3,,
Tuscola,"Elkland Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,1,,
Tuscola,"Ellington Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,1,,
Tuscola,"Elmwood Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,1,,
Tuscola,"Fairgrove Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,1,,
Tuscola,"Fremont Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,3,,
Tuscola,"Gilford Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,,
Tuscola,"Indianfields Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,1,,
