county,precinct,office,district,candidate,party,votes,election_day,absentee,av_counting_boards,early_voting,mail,provisional,pre_process_absentee
Wayne,"City of Allen Park, Precinct 1",Registered Voters,,,,1547,,,,,,,
Wayne,"City of Allen Park, Precinct 2",Registered Voters,,,,2075,,,,,,,
Wayne,"City of Allen Park, Precinct 3",Registered Voters,,,,1827,,,,,,,
Wayne,"City of Allen Park, Precinct 4",Registered Voters,,,,1364,,,,,,,
Wayne,"City of Allen Park, Precinct 5",Registered Voters,,,,2239,,,,,,,
Wayne,"City of Allen Park, Precinct 7",Registered Voters,,,,1742,,,,,,,
Wayne,"City of Allen Park, Precinct 8",Registered Voters,,,,1439,,,,,,,
Wayne,"City of Allen Park, Precinct 9",Registered Voters,,,,2134,,,,,,,
Wayne,"City of Allen Park, Precinct 10",Registered Voters,,,,1189,,,,,,,
Wayne,"City of Allen Park, Precinct 11",Registered Voters,,,,1774,,,,,,,
Wayne,"City of Allen Park, Precinct 12",Registered Voters,,,,1191,,,,,,,
Wayne,"City of Allen Park, Precinct 13",Registered Voters,,,,1301,,,,,,,
Wayne,"City of Allen Park, Precinct 14",Registered Voters,,,,1663,,,,,,,
Wayne,"City of Allen Park, Precinct 15",Registered Voters,,,,1389,,,,,,,
Wayne,"City of Allen Park, Precinct 16",Registered Voters,,,,1252,,,,,,,
Wayne,"Ash Township, Precinct 2",Registered Voters,,,,782,,,,,,,
Wayne,"City of Belleville, Precinct 1",Registered Voters,,,,3523,,,,,,,
Wayne,"Berlin Township, Precinct 2",Registered Voters,,,,254,,,,,,,
Wayne,"Charter Township of Brownstown, Precinct 1",Registered Voters,,,,2430,,,,,,,
Wayne,"Charter Township of Brownstown, Precinct 2",Registered Voters,,,,2531,,,,,,,
Wayne,"Charter Township of Brownstown, Precinct 3",Registered Voters,,,,2726,,,,,,,
Wayne,"Charter Township of Brownstown, Precinct 4",Registered Voters,,,,2760,,,,,,,
Wayne,"Charter Township of Brownstown, Precinct 5",Registered Voters,,,,2234,,,,,,,
Wayne,"Charter Township of Brownstown, Precinct 6",Registered Voters,,,,2420,,,,,,,
Wayne,"Charter Township of Brownstown, Precinct 7",Registered Voters,,,,2086,,,,,,,
