precinct,precinct id,precinct reporting,registered voters,non ballots cast,rep ballots cast,dem ballots cast,lib ballots cast,grn ballots cast,con ballots cast,turnout percentage,contest title,contest id,contest party,choice name,choice id,choice party,total votes
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,U.S. REPRESENTATIVE - DISTRICT 1 - REPUBLICAN,1,REP,WINNIE HEARTSTRONG,1,,10
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,U.S. REPRESENTATIVE - DISTRICT 1 - REPUBLICAN,1,REP,ANTHONY ROGERS,2,,23
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,U.S. REPRESENTATIVE - DISTRICT 1 - DEMOCRATIC,2,DEM,CORI BUSH,1,,48
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,U.S. REPRESENTATIVE - DISTRICT 1 - DEMOCRATIC,2,DEM,LACY CLAY,2,,48
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,U.S. REPRESENTATIVE - DISTRICT 1 - DEMOCRATIC,2,DEM,KATHERINE (KAT) BRUCKNER,3,,17
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,U.S. REPRESENTATIVE - DISTRICT 1 - LIBERTARIAN,3,LIB,ALEX FURMAN,1,,2
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - REPUBLICAN,7,REP,RALEIGH RITTER,1,,1
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - REPUBLICAN,7,REP,MIKE PARSON,2,,29
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - REPUBLICAN,7,REP,JAMES W. (JIM) NEELY,3,,4
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - REPUBLICAN,7,REP,SAUNDRA McDOWELL,4,,4
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - DEMOCRATIC,8,DEM,NICOLE GALLOWAY,1,,84
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - DEMOCRATIC,8,DEM,JIMMIE MATTHEWS,2,,6
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - DEMOCRATIC,8,DEM,ANTOIN JOHNSON,3,,5
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - DEMOCRATIC,8,DEM,ERIC MORRISON,4,,13
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - DEMOCRATIC,8,DEM,ROBIN JOHN DANIEL VAN QUAETHEM,5,,4
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - LIBERTARIAN,9,LIB,RIK COMBS,1,,2
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,GOVERNOR - GREEN,10,GRN,JEROME HOWARD BAUER,1,,0
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,LIEUTENANT GOVERNOR - REPUBLICAN,11,REP,ARNIE C. AC DIENOFF,1,,1
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,LIEUTENANT GOVERNOR - REPUBLICAN,11,REP,MIKE KEHOE,2,,16
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,LIEUTENANT GOVERNOR - REPUBLICAN,11,REP,AARON T WISDOM,3,,4
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,LIEUTENANT GOVERNOR - REPUBLICAN,11,REP,MIKE CARTER,4,,13
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,LIEUTENANT GOVERNOR - DEMOCRATIC,12,DEM,GREGORY A UPCHURCH,1,,28
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,LIEUTENANT GOVERNOR - DEMOCRATIC,12,DEM,ALISSIA CANADY,2,,80
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,LIEUTENANT GOVERNOR - LIBERTARIAN,13,LIB,BILL SLANTZ,1,,2
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,LIEUTENANT GOVERNOR - GREEN,14,GRN,KELLEY DRAGOO,1,,0
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,SECRETARY OF STATE - REPUBLICAN,15,REP,JOHN R. (JAY) ASHCROFT,1,,36
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,SECRETARY OF STATE - DEMOCRATIC,16,DEM,YINKA FALETI,1,,95
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,SECRETARY OF STATE - LIBERTARIAN,17,LIB,CARL HERMAN FREESE,1,,2
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,SECRETARY OF STATE - GREEN,18,GRN,PAUL LEHMANN,1,,0
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,SECRETARY OF STATE - CONSTITUTION,19,CON,PAUL VENABLE,1,,0
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,STATE TREASURER - REPUBLICAN,20,REP,SCOTT FITZPATRICK,1,,33
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,STATE TREASURER - DEMOCRATIC,21,DEM,VICKI LORENZ ENGLUND,1,,95
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,STATE TREASURER - LIBERTARIAN,22,LIB,NICHOLAS (NICK) KASOFF,1,,2
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,STATE TREASURER - GREEN,23,GRN,JOSEPH CIVETTINI,1,,0
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ATTORNEY GENERAL - REPUBLICAN,24,REP,ERIC SCHMITT,1,,35
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ATTORNEY GENERAL - DEMOCRATIC,25,DEM,RICH FINNERAN,1,,63
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ATTORNEY GENERAL - DEMOCRATIC,25,DEM,ELAD GROSS,2,,37
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ATTORNEY GENERAL - LIBERTARIAN,26,LIB,KEVIN C BABCOCK,1,,2
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,STATE REPRESENTATIVE - DISTRICT 73 - DEMOCRATIC,43,DEM,RAYCHEL C PROUDIE,1,,96
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ST. LOUIS COUNTY EXECUTIVE - REPUBLICAN,79,REP,PAUL BERRY III,1,,23
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ST. LOUIS COUNTY EXECUTIVE - REPUBLICAN,79,REP,ED GOLTERMAN,2,,12
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ST. LOUIS COUNTY EXECUTIVE - DEMOCRATIC,80,DEM,JAKE ZIMMERMAN,1,,38
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ST. LOUIS COUNTY EXECUTIVE - DEMOCRATIC,80,DEM,SAM PAGE,2,,35
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ST. LOUIS COUNTY EXECUTIVE - DEMOCRATIC,80,DEM,MARK MANTOVANI,3,,30
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ST. LOUIS COUNTY EXECUTIVE - DEMOCRATIC,80,DEM,JAMIE TOLLIVER,4,,14
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ST. LOUIS COUNTY EXECUTIVE - LIBERTARIAN,81,LIB,"THEO BROWN, SR.",1,,2
AP - 001,1,Reporting,507,5,38,117,2,0,0,31.95,ST. LOUIS COUNTY EXECUTIVE - GREEN,82,GRN,ELIZABETH (BETSEY) MITCHELL,1,,0
