county,precinct,office,district,party,candidate,votes
Carson City,101,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",328
Carson City,101,U.S. House,2,REP,"Amodei, Mark E.",354
Carson City,101,Lieutenant Governor,,REP,"Anthony, Stavros",315
Carson City,101,U.S. House,2,LIB,"Baber, Darryl",5
Carson City,101,"Supreme Court Justice, Seat A",,,"Bell, Linda",449
Carson City,101,U.S. House,2,IAP,"Best, Russell",14
Carson City,101,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",257
Carson City,101,Governor,,IAP,"Bridges, Ed",14
Carson City,101,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",419
Carson City,101,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",306
Carson City,101,Attorney General,,REP,"Chattah, Sigal",263
Carson City,101,"School Trustee, District 6",,,"Cobb-Adams, Shanna",266
Carson City,101,State Treasurer,,DEM,"Conine, Zach",324
Carson City,101,U.S. Senate,,DEM,"Cortez Masto, Catherine",340
Carson City,101,Secretary of State,,LIB,"Crane, Ross",9
Carson City,101,Governor,,LIB,"Davis, Brandon",7
Carson City,101,Lieutenant Governor,,NPP,"Delap, John ""Trey""",3
Carson City,101,State Treasurer,,LIB,"Elliott, Bryan",12
Carson City,101,State Treasurer,,REP,"Fiore, Michele",293
Carson City,101,Attorney General,,DEM,"Ford, Aaron D.",348
Carson City,101,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",156
Carson City,101,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",452
Carson City,101,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",349
Carson City,101,Secretary of State,,IAP,"Hansen, Janine",18
Carson City,101,State Treasurer,,IAP,"Hendrickson, Margaret",18
Carson City,101,Clerk-Recorder,,,"Hoen, William ""Scott""",273
Carson City,101,Lieutenant Governor,,IAP,"Hoge, William",15
Carson City,101,"Board of Supervisors, Ward 3",,,"Horton, Curtis",342
Carson City,101,State Senate,16,REP,"Krasner, Lisa",340
Carson City,101,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",291
Carson City,101,U.S. Senate,,REP,"Laxalt, Adam Paul",300
Carson City,101,U.S. Senate,,NPP,"Lindemann, Barry",2
Carson City,101,Governor,,REP,"Lombardo, Joe",315
Carson City,101,Secretary of State,,REP,"Marchant, Jim",292
Carson City,101,State Controller,,REP,"Matthews, Andy",324
Carson City,101,State Assembly,40,DEM,"McDaniel, Shannon C.",310
Carson City,101,Attorney General,,,None Of These Candidates,29
Carson City,101,"Court of Appeals Judge, Department 2",,,None Of These Candidates,145
Carson City,101,"Court of Appeals Judge, Department 1",,,None Of These Candidates,153
Carson City,101,"Supreme Court Justice, Seat A",,,None Of These Candidates,152
Carson City,101,"Supreme Court Justice, Seat E",,,None Of These Candidates,148
Carson City,101,"Court of Appeals Judge, Department 3",,,None Of These Candidates,167
Carson City,101,State Controller,,,None Of These Candidates,18
Carson City,101,State Treasurer,,,None Of These Candidates,16
Carson City,101,Secretary of State,,,None Of These Candidates,13
Carson City,101,Lieutenant Governor,,,None Of These Candidates,18
Carson City,101,Governor,,,None Of These Candidates,12
Carson City,101,U.S. Senate,,,None Of These Candidates,11
Carson City,101,State Assembly,40,REP,"O'Neill, Philip ""PK""",328
Carson City,101,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",456
Carson City,101,State Controller,,LIB,"Profeta, Jed W.",15
Carson City,101,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",334
Carson City,101,U.S. Senate,,IAP,"RUBINSON, BARRY",11
Carson City,101,U.S. Senate,,LIB,"Scott, Neil",5
Carson City,101,State Senate,16,DEM,"Sims, Aaron",308
Carson City,101,Governor,,DEM,"SISOLAK, Steve",318
Carson City,101,State Controller,,DEM,"Spiegel, Ellen",304
Carson City,101,"School Trustee, District 1",,,"Stinson, Jason",273
Carson City,101,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",8
Carson City,101,State Assembly,40,LIB,"Toll, Sam",16
Carson City,101,"School Trustee, District 6",,,"Walt, Molly",315
Carson City,101,"Board of Supervisors, Ward 3",,,"Wells, James R.",250
Carson City,101,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",306
Carson City,101,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",329
Carson City,103,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",488
Carson City,103,U.S. House,2,REP,"Amodei, Mark E.",552
Carson City,103,Lieutenant Governor,,REP,"Anthony, Stavros",488
Carson City,103,U.S. House,2,LIB,"Baber, Darryl",9
Carson City,103,"Supreme Court Justice, Seat A",,,"Bell, Linda",717
Carson City,103,U.S. House,2,IAP,"Best, Russell",10
Carson City,103,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",359
Carson City,103,Governor,,IAP,"Bridges, Ed",6
Carson City,103,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",685
Carson City,103,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",447
Carson City,103,Attorney General,,REP,"Chattah, Sigal",402
Carson City,103,"School Trustee, District 6",,,"Cobb-Adams, Shanna",353
Carson City,103,State Treasurer,,DEM,"Conine, Zach",490
Carson City,103,U.S. Senate,,DEM,"Cortez Masto, Catherine",487
Carson City,103,Secretary of State,,LIB,"Crane, Ross",10
Carson City,103,Governor,,LIB,"Davis, Brandon",16
Carson City,103,Lieutenant Governor,,NPP,"Delap, John ""Trey""",7
Carson City,103,State Treasurer,,LIB,"Elliott, Bryan",14
Carson City,103,State Treasurer,,REP,"Fiore, Michele",447
Carson City,103,Attorney General,,DEM,"Ford, Aaron D.",515
Carson City,103,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",224
Carson City,103,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",721
Carson City,103,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",562
Carson City,103,Secretary of State,,IAP,"Hansen, Janine",20
Carson City,103,State Treasurer,,IAP,"Hendrickson, Margaret",11
Carson City,103,Clerk-Recorder,,,"Hoen, William ""Scott""",418
Carson City,103,Lieutenant Governor,,IAP,"Hoge, William",8
Carson City,103,"Board of Supervisors, Ward 3",,,"Horton, Curtis",563
Carson City,103,State Senate,16,REP,"Krasner, Lisa",521
Carson City,103,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",410
Carson City,103,U.S. Senate,,REP,"Laxalt, Adam Paul",472
Carson City,103,U.S. Senate,,NPP,"Lindemann, Barry",4
Carson City,103,Governor,,REP,"Lombardo, Joe",495
Carson City,103,Secretary of State,,REP,"Marchant, Jim",441
Carson City,103,State Controller,,REP,"Matthews, Andy",476
Carson City,103,State Assembly,40,DEM,"McDaniel, Shannon C.",431
Carson City,103,Attorney General,,,None Of These Candidates,35
Carson City,103,State Controller,,,None Of These Candidates,28
Carson City,103,State Treasurer,,,None Of These Candidates,14
Carson City,103,Secretary of State,,,None Of These Candidates,14
Carson City,103,Lieutenant Governor,,,None Of These Candidates,17
Carson City,103,Governor,,,None Of These Candidates,13
Carson City,103,"Court of Appeals Judge, Department 3",,,None Of These Candidates,195
Carson City,103,"Court of Appeals Judge, Department 2",,,None Of These Candidates,162
Carson City,103,"Court of Appeals Judge, Department 1",,,None Of These Candidates,185
Carson City,103,"Supreme Court Justice, Seat A",,,None Of These Candidates,180
Carson City,103,"Supreme Court Justice, Seat E",,,None Of These Candidates,169
Carson City,103,U.S. Senate,,,None Of These Candidates,6
Carson City,103,State Assembly,40,REP,"O'Neill, Philip ""PK""",511
Carson City,103,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",730
Carson City,103,State Controller,,LIB,"Profeta, Jed W.",19
Carson City,103,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",546
Carson City,103,U.S. Senate,,IAP,"RUBINSON, BARRY",6
Carson City,103,U.S. Senate,,LIB,"Scott, Neil",8
Carson City,103,State Senate,16,DEM,"Sims, Aaron",436
Carson City,103,Governor,,DEM,"SISOLAK, Steve",452
Carson City,103,State Controller,,DEM,"Spiegel, Ellen",448
Carson City,103,"School Trustee, District 1",,,"Stinson, Jason",382
Carson City,103,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",8
