county,precinct,office,district,candidate,party,absentee_mail,early_voting,election_day,votes
Adair,10001,President,,DONALD J. TRUMP | MICHAEL R. PENCE,REP,16,43,219,278
Adair,10001,President,,JO JORGENSEN | JEREMY SPIKE COHEN,LIB,2,0,3,5
Adair,10001,President,,JOSEPH R. BIDEN | KAMALA D. HARRIS,DEM,5,7,53,65
Adair,10001,President,,JADE SIMMONS | CLAUDELIAH J. ROZE,IND,0,0,3,3
Adair,10001,President,,KANYE WEST | MICHELLE TIDBALL,IND,0,0,2,2
Adair,10001,President,,BROCK PIERCE | KARLA BALLARD,IND,0,0,0,0
Adair,10001,Corporation Commissioner,,TODD HIETT,REP,17,42,225,284
Adair,10001,Corporation Commissioner,,TODD HAGOPIAN,LIB,4,7,37,48
Adair,10001,U.S. Senate,,JIM INHOFE,REP,14,38,205,257
Adair,10001,U.S. Senate,,ROBERT MURPHY,LIB,3,1,4,8
Adair,10001,U.S. Senate,,ABBY BROYLES,DEM,6,7,61,74
Adair,10001,U.S. Senate,,JOAN FARR,IND,0,2,6,8
Adair,10001,U.S. Senate,,A. D. NESBIT,IND,0,1,1,2
Adair,10001,U.S. House,2,MARKWAYNE MULLIN,REP,15,40,225,280
Adair,10001,U.S. House,2,RICHIE CASTALDO,LIB,2,2,7,11
Adair,10001,U.S. House,2,DANYELL LANIER,DEM,6,8,48,62
Adair,10001,State Senate,3,BLAKE COWBOY STEPHENS,REP,15,41,219,275
Adair,10001,State Senate,3,DYLLON FITE,DEM,8,9,54,71
Adair,10001,FOR COUNTY SHERIFF,,JOHN R. BERRY,REP,9,21,151,181
Adair,10001,FOR COUNTY SHERIFF,,JASON RITCHIE,IND,13,29,126,168
Adair,10001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,YES,,14,35,175,224
Adair,10001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,NO,,8,11,77,96
Adair,10001,SUPREME COURT DISTRICT 6 - TOM COLBERT,,YES,,12,33,163,208
Adair,10001,SUPREME COURT DISTRICT 6 - TOM COLBERT,,NO,,11,14,91,116
Adair,10001,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,YES,,13,34,171,218
Adair,10001,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,NO,,8,12,79,99
Adair,10001,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,YES,,14,34,171,219
Adair,10001,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,NO,,8,10,78,96
Adair,10001,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,YES,,13,33,168,214
Adair,10001,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,NO,,9,12,80,101
Adair,10001,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,YES,,14,28,144,186
Adair,10001,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,NO,,8,18,104,130
Adair,10001,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,YES,,15,30,145,190
Adair,10001,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,NO,,7,16,102,125
Adair,10001,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,YES,,14,28,151,193
Adair,10001,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,NO,,8,18,98,124
Adair,10001,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,FOR THE PROPOSAL - YES,,13,14,72,99
Adair,10001,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,AGAINST THE PROPOSAL - NO,,10,35,195,240
