county,precinct_code,precinct,office,district,party,candidate,votes
Adams,111,Ritzville Ward #1,President,,Democratic Party,Michael Bennet,1
Adams,111,Ritzville Ward #1,President,,Democratic Party,Bernie Sanders,8
Adams,111,Ritzville Ward #1,President,,Democratic Party,Tom Steyer,1
Adams,111,Ritzville Ward #1,President,,Democratic Party,Elizabeth Warren,0
Adams,111,Ritzville Ward #1,President,,Democratic Party,Andrew Yang,0
Adams,111,Ritzville Ward #1,President,,Democratic Party,Uncommitted Delegates,0
Adams,111,Ritzville Ward #1,President,,Democratic Party,Joseph R. Biden,18
Adams,111,Ritzville Ward #1,President,,Democratic Party,Michael Bloomberg,4
Adams,111,Ritzville Ward #1,President,,Democratic Party,Cory Booker,0
Adams,111,Ritzville Ward #1,President,,Democratic Party,Pete Buttigieg,0
Adams,111,Ritzville Ward #1,President,,Democratic Party,Write-in,0
Adams,111,Ritzville Ward #1,President,,Democratic Party,John Delaney,0
Adams,111,Ritzville Ward #1,President,,Democratic Party,Tulsi Gabbard,1
Adams,111,Ritzville Ward #1,President,,Democratic Party,Amy Klobuchar,2
Adams,111,Ritzville Ward #1,President,,Democratic Party,Deval Patrick,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Michael Bennet,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Bernie Sanders,6
Adams,112,Ritzville Ward #2,President,,Democratic Party,Tom Steyer,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Elizabeth Warren,2
Adams,112,Ritzville Ward #2,President,,Democratic Party,Andrew Yang,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Uncommitted Delegates,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Joseph R. Biden,5
Adams,112,Ritzville Ward #2,President,,Democratic Party,Michael Bloomberg,4
Adams,112,Ritzville Ward #2,President,,Democratic Party,Cory Booker,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Pete Buttigieg,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Write-in,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,John Delaney,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Tulsi Gabbard,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Amy Klobuchar,0
Adams,112,Ritzville Ward #2,President,,Democratic Party,Deval Patrick,0
Adams,113,Ritzville Ward #3,President,,Democratic Party,Michael Bennet,0
Adams,113,Ritzville Ward #3,President,,Democratic Party,Bernie Sanders,12
Adams,113,Ritzville Ward #3,President,,Democratic Party,Tom Steyer,1
Adams,113,Ritzville Ward #3,President,,Democratic Party,Elizabeth Warren,4
Adams,113,Ritzville Ward #3,President,,Democratic Party,Andrew Yang,0
Adams,113,Ritzville Ward #3,President,,Democratic Party,Uncommitted Delegates,0
Adams,113,Ritzville Ward #3,President,,Democratic Party,Joseph R. Biden,16
Adams,113,Ritzville Ward #3,President,,Democratic Party,Michael Bloomberg,8
Adams,113,Ritzville Ward #3,President,,Democratic Party,Cory Booker,0
Adams,113,Ritzville Ward #3,President,,Democratic Party,Pete Buttigieg,0
Adams,113,Ritzville Ward #3,President,,Democratic Party,Write-in,0
Adams,113,Ritzville Ward #3,President,,Democratic Party,John Delaney,0
Adams,113,Ritzville Ward #3,President,,Democratic Party,Tulsi Gabbard,0
Adams,113,Ritzville Ward #3,President,,Democratic Party,Amy Klobuchar,1
Adams,113,Ritzville Ward #3,President,,Democratic Party,Deval Patrick,0
Adams,114,Ritzville Ward #4,President,,Democratic Party,Michael Bennet,0
Adams,114,Ritzville Ward #4,President,,Democratic Party,Bernie Sanders,5
Adams,114,Ritzville Ward #4,President,,Democratic Party,Tom Steyer,1
Adams,114,Ritzville Ward #4,President,,Democratic Party,Elizabeth Warren,1
Adams,114,Ritzville Ward #4,President,,Democratic Party,Andrew Yang,0
Adams,114,Ritzville Ward #4,President,,Democratic Party,Uncommitted Delegates,0
Adams,114,Ritzville Ward #4,President,,Democratic Party,Joseph R. Biden,22
Adams,114,Ritzville Ward #4,President,,Democratic Party,Michael Bloomberg,7
