county,precinct,office,district,candidate,party,votes
Mercer,PRECINCT 1,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,60
Mercer,PRECINCT 2,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,93
Mercer,PRECINCT 3,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,182
Mercer,PRECINCT 4,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,235
Mercer,PRECINCT 14,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,9
Mercer,PRECINCT 15,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,65
Mercer,PRECINCT 20,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,45
Mercer,PRECINCT 27,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,106
Mercer,PRECINCT 28,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,135
Mercer,PRECINCT 31,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,100
Mercer,PRECINCT 32,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,131
Mercer,PRECINCT 36,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,271
Mercer,PRECINCT 44,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,202
Mercer,PRECINCT 47,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,165
Mercer,PRECINCT 48,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,44
Mercer,PRECINCT 49,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,104
Mercer,PRECINCT 52,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,102
Mercer,PRECINCT 53,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,121
Mercer,PRECINCT 54,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,179
Mercer,PRECINCT 56,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,267
Mercer,PRECINCT 58,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,229
Mercer,PRECINCT 59,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,133
Mercer,PRECINCT 60,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,20
Mercer,PRECINCT 62,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,287
Mercer,PRECINCT 64,BALLOTS CAST,,BALLOTS CAST - REPUBLICAN,REP,160
